Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,25.67,25.77,25.45,25.64,802600,25.64
2013-07-11,25.57,25.77,25.53,25.67,1151300,25.67
2013-07-10,25.28,25.34,25.12,25.30,2116900,25.30
2013-07-09,24.97,25.29,24.86,25.28,1815400,25.28
2013-07-08,24.63,24.93,24.56,24.90,1909500,24.90
2013-07-05,24.85,24.85,24.61,24.78,1231600,24.78
2013-07-03,24.50,24.77,24.50,24.71,612800,24.71
2013-07-02,24.65,24.78,24.52,24.65,1476500,24.65
2013-07-01,24.52,24.92,24.50,24.71,2128500,24.71
2013-06-28,24.05,24.59,24.03,24.48,2275300,24.48
2013-06-27,23.86,24.37,23.79,24.32,1717600,24.32
2013-06-26,23.64,23.79,23.55,23.74,1120200,23.74
2013-06-25,23.38,23.60,23.24,23.52,2376200,23.52
2013-06-24,22.68,23.43,22.64,23.19,2407600,23.19
2013-06-21,22.86,23.37,22.70,22.78,3310600,22.78
2013-06-20,22.82,22.90,22.58,22.62,1306400,22.62
2013-06-19,23.23,23.25,22.98,23.00,2108400,23.00
2013-06-18,23.32,23.36,23.22,23.25,2406200,23.25
2013-06-17,23.56,23.64,23.29,23.35,1788000,23.25
2013-06-14,23.77,23.80,23.42,23.46,1297200,23.36
2013-06-13,22.94,23.95,22.91,23.76,2675600,23.66
2013-06-12,23.36,23.37,22.91,22.94,2118400,22.84
2013-06-11,23.15,23.49,23.14,23.19,1769300,23.09
2013-06-10,23.46,23.53,23.33,23.41,835100,23.31
2013-06-07,23.28,23.54,23.25,23.43,976000,23.33
2013-06-06,23.19,23.34,22.99,23.17,1380500,23.07
2013-06-05,23.42,23.44,23.19,23.19,697400,23.09
2013-06-04,23.48,23.64,23.28,23.46,1156500,23.36
2013-06-03,23.51,23.51,23.19,23.47,1331200,23.37
2013-05-31,23.62,23.80,23.50,23.51,1234700,23.41
2013-05-30,23.68,23.88,23.64,23.72,485400,23.62
2013-05-29,23.66,23.73,23.44,23.64,884600,23.54
2013-05-28,23.84,23.99,23.75,23.82,627300,23.72
2013-05-24,23.50,23.72,23.40,23.65,715800,23.55
