Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,115.48,115.48,113.77,115.16,2970100,115.16
2013-07-11,115.91,116.95,114.22,115.36,2458000,115.36
2013-07-10,114.04,114.71,112.67,113.85,2057100,113.85
2013-07-09,112.71,115.36,112.61,114.06,4197800,114.06
2013-07-08,113.23,114.24,111.70,111.98,3586000,111.98
2013-07-05,111.20,113.11,110.95,112.36,1982200,112.36
2013-07-03,108.76,112.58,107.80,112.45,2224000,112.45
2013-07-02,110.95,111.30,109.13,109.47,4152600,109.47
2013-07-01,112.76,114.71,110.59,110.95,5232900,110.95
2013-06-28,107.84,113.06,107.38,112.48,4402100,112.48
2013-06-27,103.97,112.44,103.97,108.22,8367400,108.22
2013-06-26,100.25,104.21,100.25,103.64,2932600,103.64
2013-06-25,100.48,100.98,98.46,99.37,3311300,99.37
2013-06-24,100.80,101.39,99.73,99.75,2225400,99.75
2013-06-21,101.45,102.41,100.50,101.83,4686000,101.83
2013-06-20,101.99,102.20,99.81,100.41,1961700,100.41
2013-06-19,102.99,103.82,102.25,102.49,1482500,102.49
2013-06-18,101.49,104.00,101.30,103.01,2349600,103.01
2013-06-17,102.50,103.21,100.46,101.29,4841300,101.29
2013-06-14,95.85,104.13,95.79,103.93,9007100,103.93
2013-06-13,94.07,96.40,93.57,96.15,1523900,96.15
2013-06-12,96.47,96.58,93.80,93.90,1413000,93.90
2013-06-11,95.05,96.52,94.74,95.98,1721600,95.98
2013-06-10,95.96,96.53,95.36,95.74,2252400,95.74
2013-06-07,95.44,95.55,94.42,94.93,1480600,94.93
2013-06-06,93.10,94.66,93.10,94.66,1592800,94.66
2013-06-05,94.83,95.12,92.87,92.97,2444200,92.97
2013-06-04,94.88,95.47,93.97,95.23,1724000,95.23
2013-06-03,95.50,95.52,94.00,95.17,1557600,95.17
2013-05-31,96.48,97.24,95.51,95.51,3592800,95.51
2013-05-30,96.11,97.33,96.11,96.89,1922000,96.89
2013-05-29,95.16,96.26,94.51,96.02,1621400,96.02
2013-05-28,95.93,96.64,95.52,96.27,1388600,95.62
2013-05-24,95.64,95.80,94.62,95.03,1425600,94.39
2013-05-23,94.94,96.35,94.86,96.03,1526000,95.38
2013-05-22,96.86,97.37,95.05,95.56,1794000,94.91
2013-05-21,96.81,97.82,96.62,97.01,1811000,96.36
2013-05-20,97.96,98.09,96.28,96.64,1890400,95.99
2013-05-17,97.42,98.04,97.18,97.95,1313600,97.29
2013-05-16,98.75,99.09,96.86,97.22,1820400,96.56
2013-05-15,98.17,99.43,97.72,99.24,1972000,98.57
2013-05-14,98.29,98.69,98.00,98.17,1328100,97.51
2013-05-13,97.67,98.53,97.67,98.17,1612300,97.51
2013-05-10,98.07,98.75,97.63,98.04,1844600,97.38
2013-05-09,98.02,98.67,97.17,97.94,1580800,97.28
2013-05-08,97.57,98.55,97.40,98.32,2549700,97.66
2013-05-07,96.17,97.70,96.10,97.57,1346000,96.91
2013-05-06,96.04,96.58,95.69,96.23,1095000,95.58
2013-05-03,96.20,96.94,96.20,96.34,1358500,95.69
2013-05-02,94.51,95.86,94.51,95.63,1902500,94.98
2013-05-01,93.94,94.91,93.48,94.37,4608700,93.73
2013-04-30,94.34,94.92,93.42,93.89,2389800,93.26
2013-04-29,93.68,94.44,93.54,94.23,2961000,93.59
2013-04-26,92.39,93.86,92.17,93.43,4133300,92.80
2013-04-25,89.90,92.61,89.81,92.19,4418800,91.57
2013-04-24,92.74,93.50,91.79,92.73,2914200,92.10
2013-04-23,92.83,93.03,91.56,92.45,2238400,91.83
2013-04-22,91.60,92.53,91.28,92.31,1983000,91.69
2013-04-19,90.96,91.48,90.36,91.28,6203100,90.66
2013-04-18,92.29,92.31,90.38,90.64,2466900,90.03
2013-04-17,92.41,93.08,91.59,91.96,1810600,91.34
2013-04-16,92.76,93.36,92.61,93.07,3432400,92.44
2013-04-15,93.23,93.63,92.48,92.48,2444100,91.86
2013-04-12,93.42,94.00,93.39,93.67,3952500,93.04
2013-04-11,94.16,94.68,93.03,93.59,4230900,92.96
2013-04-10,94.70,95.41,94.17,94.23,2804400,93.59
2013-04-09,96.33,96.48,94.59,94.68,2318200,94.04
2013-04-08,97.28,97.79,95.43,95.97,3124200,95.32
2013-04-05,97.34,97.63,96.42,97.57,2964000,96.91
2013-04-04,96.47,97.72,96.47,97.47,3302400,96.81
2013-04-03,97.30,97.63,96.15,96.62,3394700,95.97
2013-04-02,96.25,97.27,96.23,96.95,1591000,96.30
2013-04-01,96.11,96.57,95.87,96.24,2137900,95.59
2013-03-28,96.14,96.30,95.49,96.06,2106600,95.41
2013-03-27,95.68,96.17,95.19,96.01,1504300,95.36
2013-03-26,95.73,96.09,94.92,96.04,3883200,95.39
2013-03-25,96.14,96.45,94.95,95.37,2228500,94.73
2013-03-22,94.16,96.33,94.09,95.79,3533700,95.14
2013-03-21,95.00,95.24,93.69,93.83,3412300,93.20
2013-03-20,94.50,96.05,94.44,95.62,2647200,94.97
2013-03-19,94.22,94.45,93.46,94.14,3369800,93.50
2013-03-18,91.08,93.61,90.42,93.43,3067100,92.80
2013-03-15,91.79,92.50,91.65,92.23,3325400,91.61
2013-03-14,91.84,91.99,91.46,91.83,1961800,91.21
2013-03-13,91.50,91.85,90.99,91.69,2099900,91.07
2013-03-12,90.98,91.74,90.60,91.58,2743500,90.96
2013-03-11,89.79,91.13,89.35,90.77,2662400,90.16
2013-03-08,89.71,90.23,89.68,89.77,2020600,89.16
