Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,35.12,35.30,34.87,35.08,4256500,35.08
2013-07-11,35.54,35.62,34.96,35.09,3903500,35.09
2013-07-10,35.30,35.48,35.01,35.13,2516900,35.13
2013-07-09,35.00,35.39,34.99,35.32,3795900,35.32
2013-07-08,34.80,34.98,34.61,34.78,2408400,34.78
2013-07-05,34.41,34.65,34.25,34.57,1461100,34.57
2013-07-03,34.15,34.32,33.94,34.16,1595400,34.16
2013-07-02,34.39,34.73,34.03,34.41,3550800,34.41
2013-07-01,33.63,34.65,33.47,34.40,7745300,34.40
2013-06-28,32.77,33.01,32.52,32.95,21513000,32.95
2013-06-27,32.29,33.03,32.28,32.88,5389200,32.88
2013-06-26,32.22,32.25,31.98,32.01,5339800,32.01
2013-06-25,31.97,32.11,31.70,31.98,5335500,31.98
2013-06-24,32.16,32.16,31.72,31.72,5151600,31.72
2013-06-21,32.53,32.53,31.88,32.41,6244800,32.41
2013-06-20,33.10,33.10,32.15,32.26,7074700,32.26
2013-06-19,33.78,33.82,33.37,33.39,4468700,33.39
2013-06-18,33.35,33.90,33.32,33.75,2730500,33.75
2013-06-17,33.50,33.67,33.19,33.39,4403200,33.39
2013-06-14,33.46,33.63,33.22,33.31,3984000,33.31
2013-06-13,33.25,33.54,33.00,33.45,2961300,33.45
2013-06-12,33.90,33.91,33.13,33.31,4251000,33.31
2013-06-11,33.97,34.15,33.68,33.71,5430900,33.71
2013-06-10,34.29,34.52,34.16,34.43,3743700,34.43
2013-06-07,33.89,34.82,33.79,34.28,3137100,34.28
2013-06-06,33.28,33.56,33.09,33.56,2362800,33.56
2013-06-05,33.55,33.64,33.22,33.28,4182400,33.28
2013-06-04,33.78,34.06,33.63,33.70,3615400,33.70
2013-06-03,33.82,33.95,33.49,33.83,4004600,33.83
2013-05-31,34.08,34.34,33.81,33.81,3087500,33.81
2013-05-30,34.23,34.52,34.11,34.20,2906600,34.20
2013-05-29,34.24,34.39,34.12,34.22,2636800,34.22
2013-05-28,34.58,34.69,34.44,34.50,1862900,34.50
2013-05-24,33.89,34.36,33.74,34.27,2946700,34.27
2013-05-23,33.82,34.22,33.79,34.06,3585500,34.06
2013-05-22,34.26,34.31,33.91,34.08,4665100,34.08
2013-05-21,34.22,34.40,34.18,34.26,1340100,34.26
2013-05-20,34.15,34.32,34.08,34.24,2743700,34.24
2013-05-17,33.91,34.43,33.91,34.26,2168900,34.26
2013-05-16,34.08,34.08,33.83,33.91,3203200,33.91
2013-05-15,34.00,34.17,33.79,34.15,2498300,34.15
2013-05-14,33.84,34.24,33.80,34.11,2435100,34.11
2013-05-13,33.84,33.97,33.74,33.86,1631500,33.86
2013-05-10,33.91,34.00,33.71,33.87,5546600,33.87
2013-05-09,33.65,34.01,33.61,33.96,3168200,33.96
2013-05-08,33.11,33.78,33.06,33.77,3881200,33.77
2013-05-07,32.98,33.17,32.83,33.15,2120800,33.15
2013-05-06,31.99,32.88,31.96,32.85,2720200,32.85
2013-05-03,32.04,32.68,31.99,32.03,4623500,32.03
2013-05-02,31.52,31.99,31.51,31.75,6172100,31.75
2013-05-01,31.98,32.26,31.49,31.50,4760600,31.50
2013-04-30,32.23,32.47,32.00,32.12,5067900,32.12
2013-04-29,31.58,32.43,31.52,32.16,6075700,32.16
2013-04-26,32.31,32.95,31.37,31.42,12536100,31.42
2013-04-25,30.75,31.20,30.65,31.08,3748200,31.08
2013-04-24,30.98,31.16,30.62,30.70,3878300,30.70
2013-04-23,30.98,31.23,30.75,31.05,2292800,30.89
2013-04-22,31.32,31.42,30.75,30.79,3361700,30.63
2013-04-19,31.03,31.36,30.91,31.32,2968600,31.16
2013-04-18,31.18,31.20,30.75,30.88,2354600,30.72
2013-04-17,31.36,31.41,30.77,31.17,3124000,31.01
2013-04-16,31.58,31.71,31.38,31.58,2553500,31.42
2013-04-15,32.06,32.30,31.29,31.36,3416600,31.20
2013-04-12,32.62,32.67,32.11,32.25,2740500,32.08
2013-04-11,32.47,32.77,32.43,32.71,3110000,32.54
2013-04-10,31.81,32.50,31.71,32.44,3052100,32.27
2013-04-09,31.31,31.79,31.11,31.68,4495700,31.52
2013-04-08,31.02,31.33,31.02,31.17,2755600,31.01
2013-04-05,31.21,31.37,30.95,31.11,2870200,30.95
2013-04-04,31.52,31.84,31.38,31.59,2302400,31.43
2013-04-03,31.69,31.96,31.43,31.53,4163800,31.37
2013-04-02,31.81,31.95,31.49,31.64,3602500,31.48
2013-04-01,32.10,32.16,31.57,31.75,2653100,31.59
2013-03-28,31.20,32.07,31.10,32.00,4589300,31.84
2013-03-27,31.04,31.22,30.89,31.18,1944100,31.02
2013-03-26,31.15,31.26,30.96,31.26,1975600,31.10
2013-03-25,31.32,31.44,30.83,30.99,1785500,30.83
2013-03-22,30.98,31.25,30.91,31.24,2860200,31.08
2013-03-21,31.33,31.47,30.87,30.88,3346500,30.72
2013-03-20,31.45,31.60,31.35,31.46,2715400,31.30
2013-03-19,31.43,31.43,30.81,31.23,2930300,31.07
2013-03-18,31.25,31.60,31.23,31.34,2112500,31.18
2013-03-15,31.71,31.87,31.51,31.62,2667300,31.46
2013-03-14,31.82,31.99,31.76,31.88,1791800,31.72
2013-03-13,31.71,31.83,31.55,31.73,2026300,31.57
2013-03-12,32.19,32.22,31.59,31.64,2565300,31.48
2013-03-11,31.99,32.25,31.96,32.24,1449000,32.07
2013-03-08,31.97,32.14,31.80,32.08,2135100,31.91
2013-03-07,32.25,32.25,31.83,31.84,2567200,31.68
2013-03-06,32.47,32.49,32.13,32.23,1692500,32.06
2013-03-05,32.03,32.42,32.01,32.27,2583000,32.10
2013-03-04,31.55,31.94,31.50,31.89,2580300,31.73
2013-03-01,31.80,32.11,31.56,31.67,2845200,31.51
2013-02-28,31.94,32.33,31.87,32.01,3041700,31.85
2013-02-27,31.18,32.03,31.09,31.92,2962400,31.76
2013-02-26,31.43,31.51,31.21,31.27,3636800,31.11
2013-02-25,31.97,32.01,31.29,31.30,2820700,31.14
2013-02-22,31.91,32.05,31.73,31.85,2126200,31.69
2013-02-21,32.13,32.13,31.44,31.76,4153200,31.60
2013-02-20,32.25,32.43,32.07,32.30,3936400,32.13
2013-02-19,32.03,32.34,31.96,32.34,2557200,32.17
2013-02-15,31.99,32.21,31.90,32.05,4191700,31.88
2013-02-14,31.25,31.87,31.25,31.87,3484600,31.71
2013-02-13,30.87,31.55,30.87,31.50,3761000,31.34
2013-02-12,30.82,31.02,30.75,31.01,2315400,30.85
2013-02-11,30.73,31.04,30.67,30.73,2106800,30.57
2013-02-08,30.52,30.84,30.46,30.76,1976500,30.60
2013-02-07,30.37,30.50,30.13,30.44,2336500,30.28
2013-02-06,30.42,30.59,30.15,30.44,3843200,30.28
2013-02-05,30.13,30.74,30.05,30.60,2890300,30.44
2013-02-04,30.06,30.13,29.96,30.01,2698500,29.86
2013-02-01,30.40,30.65,30.15,30.25,2838900,30.09
2013-01-31,30.18,30.35,30.08,30.23,2842600,30.07
2013-01-30,30.54,30.78,30.07,30.16,2867300,30.00
2013-01-29,30.47,30.85,30.23,30.51,4281000,30.35
2013-01-28,31.15,31.23,30.66,30.70,4176100,30.54
2013-01-25,31.02,31.26,30.76,31.23,2489700,31.07
2013-01-24,31.00,31.29,30.77,30.94,3007500,30.78
2013-01-23,31.06,31.22,30.91,31.10,2250800,30.94
2013-01-22,31.29,31.45,31.07,31.25,3055600,30.94
2013-01-18,31.33,31.38,30.83,31.37,3491000,31.06
2013-01-17,30.64,31.46,30.61,31.34,3988800,31.03
2013-01-16,30.38,30.58,30.17,30.54,1952600,30.24
2013-01-15,30.08,30.53,30.00,30.53,2272000,30.23
2013-01-14,30.16,30.30,29.95,30.30,1899400,30.00
2013-01-11,30.52,30.55,30.10,30.25,2118900,29.95
2013-01-10,30.68,30.75,30.14,30.39,4338200,30.09
2013-01-09,29.89,30.56,29.85,30.55,3780300,30.25
2013-01-08,29.78,29.86,29.59,29.77,1964400,29.47
2013-01-07,29.63,29.95,29.58,29.82,1786200,29.52
2013-01-04,29.97,30.03,29.71,29.78,3131800,29.48
2013-01-03,30.49,30.58,29.74,29.82,4587700,29.52
2013-01-02,29.76,30.57,29.72,30.57,4772400,30.27
2012-12-31,28.43,29.25,28.33,29.25,3677100,28.96
2012-12-28,28.76,28.94,28.55,28.57,2343800,28.29
2012-12-27,29.05,29.19,28.63,28.91,2959200,28.62
2012-12-26,29.31,29.34,28.87,29.03,2614700,28.74
