Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,68.57,68.74,67.69,68.00,4645600,68.00
2013-07-11,68.27,68.55,67.65,68.36,6588900,68.36
2013-07-10,68.00,68.75,67.61,67.69,4383900,67.69
2013-07-09,68.02,68.45,67.29,67.97,4275700,67.97
2013-07-08,66.95,67.58,66.36,67.56,6192500,67.56
2013-07-05,65.96,66.19,65.27,66.17,2356500,66.17
2013-07-03,64.96,65.84,64.65,65.54,2271100,65.54
2013-07-02,65.43,65.66,65.05,65.27,4484800,65.27
2013-07-01,65.89,66.36,65.52,65.63,3736500,65.63
2013-06-28,65.62,66.13,65.04,65.48,6867800,65.48
2013-06-27,65.06,66.19,64.96,66.09,4483600,66.09
2013-06-26,64.03,65.06,64.02,64.78,4851700,64.78
2013-06-25,65.03,65.54,63.66,63.73,4959100,63.73
2013-06-24,63.49,65.04,63.46,64.65,5717100,64.65
2013-06-21,64.19,64.83,63.43,63.90,7806500,63.90
2013-06-20,64.80,64.82,63.65,63.80,5748300,63.80
2013-06-19,65.70,66.16,65.23,65.26,6370200,65.26
2013-06-18,64.90,65.71,64.46,65.68,5183300,65.68
2013-06-17,64.29,65.24,64.10,64.37,4975000,64.37
2013-06-14,64.13,64.45,63.59,63.80,3122600,63.80
2013-06-13,63.70,64.21,63.15,64.15,4379500,64.15
2013-06-12,64.24,64.51,63.62,63.83,3891100,63.55
2013-06-11,63.15,64.56,62.70,63.93,6063400,63.65
2013-06-10,62.58,63.90,62.57,63.68,5256600,63.40
2013-06-07,62.27,62.93,61.70,62.57,5214700,62.30
2013-06-06,61.75,61.92,60.95,61.92,4711400,61.65
2013-06-05,63.01,63.11,61.65,61.75,5380100,61.48
2013-06-04,62.60,62.99,61.92,62.36,5151100,62.09
2013-06-03,62.89,63.00,62.09,62.80,3756200,62.52
2013-05-31,64.45,64.85,62.60,62.63,5888300,62.36
2013-05-30,63.43,64.90,63.02,64.66,5671300,64.38
2013-05-29,63.32,63.55,62.81,63.35,5009100,63.07
2013-05-28,62.49,63.58,62.40,63.34,5341000,63.06
2013-05-24,62.02,62.52,61.49,62.06,4697900,61.79
2013-05-23,62.09,62.82,61.82,62.36,4479100,62.09
2013-05-22,62.00,63.27,61.53,62.28,6317500,62.01
2013-05-21,62.57,63.03,62.45,62.87,3248400,62.59
2013-05-20,62.73,62.92,62.42,62.56,2688200,62.29
2013-05-17,62.25,63.31,62.22,62.84,5840800,62.56
2013-05-16,61.30,62.35,61.20,62.14,6904800,61.87
2013-05-15,61.52,62.28,61.17,61.61,6808200,61.34
2013-05-14,62.30,62.48,61.55,61.73,5390300,61.46
2013-05-13,62.67,62.80,62.26,62.39,3490400,62.12
2013-05-10,62.04,62.99,61.81,62.91,5015700,62.63
2013-05-09,62.25,62.56,61.46,62.01,6416700,61.74
2013-05-08,60.32,62.77,60.31,62.51,10032800,62.24
2013-05-07,60.08,61.13,59.93,60.50,4830700,60.23
2013-05-06,59.38,60.73,59.32,60.20,5609600,59.94
2013-05-03,59.79,60.03,58.87,58.92,5149500,58.66
2013-05-02,59.71,60.38,59.39,59.48,6072500,59.22
2013-05-01,59.96,60.44,59.30,59.72,4897800,59.46
2013-04-30,60.14,60.38,59.21,59.93,5701800,59.67
2013-04-29,59.95,60.49,59.81,60.01,4861600,59.75
2013-04-26,59.26,60.15,59.13,59.48,5798100,59.22
2013-04-25,59.13,59.41,58.61,59.34,5669100,59.08
