Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,86.59,87.50,85.49,86.12,15335100,86.12
2013-07-11,91.25,91.78,91.06,91.45,3446700,91.45
2013-07-10,89.63,91.03,89.42,90.24,3625400,90.24
2013-07-09,88.64,91.04,88.64,89.73,5645300,89.73
2013-07-08,88.00,88.78,87.85,88.35,2852500,88.35
2013-07-05,86.68,87.72,86.63,87.54,1994800,87.54
2013-07-03,86.34,86.48,85.84,86.16,1223300,86.16
2013-07-02,86.88,87.48,86.27,86.61,2127800,86.61
2013-07-01,86.92,87.65,86.87,87.05,2556200,87.05
2013-06-28,86.97,87.46,86.47,86.48,3271100,86.48
2013-06-27,87.02,87.30,86.62,87.09,3002700,87.09
2013-06-26,86.31,86.92,86.21,86.42,2291800,86.42
2013-06-25,85.82,86.04,85.29,85.72,2661300,85.72
2013-06-24,84.98,86.29,84.70,85.27,3472300,85.27
2013-06-21,85.59,85.86,84.91,85.41,4676900,85.41
2013-06-20,85.82,85.84,84.38,84.89,4213900,84.89
2013-06-19,87.52,87.66,86.31,86.37,3027000,86.37
2013-06-18,86.80,87.82,86.77,87.43,2916200,87.43
2013-06-17,86.44,86.80,85.96,86.54,3198600,86.54
2013-06-14,86.23,86.81,85.59,85.91,2505600,85.91
2013-06-13,85.51,86.48,85.11,86.32,2282000,86.32
2013-06-12,86.22,86.42,85.14,85.51,2771200,85.51
2013-06-11,85.74,86.25,85.50,85.65,2478600,85.65
2013-06-10,86.54,86.57,85.94,86.35,2101600,86.35
2013-06-07,85.21,86.50,85.10,86.37,4231900,86.37
2013-06-06,84.71,85.05,84.20,84.76,3918000,84.76
2013-06-05,85.77,85.91,84.68,84.96,4156200,84.96
2013-06-04,86.25,86.84,85.78,85.96,3454900,85.96
2013-06-03,85.87,86.42,85.62,86.25,4186800,86.25
2013-05-31,86.32,86.78,85.87,85.90,4082000,85.90
2013-05-30,86.41,86.77,86.31,86.36,2882600,86.36
2013-05-29,86.35,86.61,86.06,86.34,3306300,86.34
2013-05-28,87.23,87.50,86.36,86.75,4191300,86.75
2013-05-24,86.72,86.90,86.38,86.83,3587400,86.83
2013-05-23,87.60,87.81,87.00,87.31,5157400,87.31
2013-05-22,88.73,89.54,87.77,88.14,4191600,88.14
2013-05-21,88.55,89.42,88.51,88.78,2907300,88.78
2013-05-20,88.62,88.85,88.35,88.55,2640000,88.55
2013-05-17,87.96,88.74,87.87,88.70,3440500,88.70
2013-05-16,88.39,88.65,87.70,87.85,3115400,87.85
2013-05-15,88.34,88.69,88.10,88.60,3534400,88.60
2013-05-14,88.26,88.72,88.16,88.40,3233400,88.40
2013-05-13,88.14,88.38,87.80,88.04,1858700,88.04
2013-05-10,88.16,88.83,88.11,88.34,2604900,88.34
2013-05-09,88.50,89.00,88.03,88.23,4937000,88.23
2013-05-08,88.39,89.96,87.84,89.03,6309100,88.41
2013-05-07,87.43,88.95,87.31,88.66,4853800,88.04
2013-05-06,86.13,87.55,86.07,87.04,3259000,86.43
2013-05-03,85.93,86.48,85.80,86.09,3471700,85.49
2013-05-02,84.83,85.45,84.80,85.33,3566400,84.74
2013-05-01,85.82,85.90,84.65,84.82,3372200,84.23
2013-04-30,86.39,86.39,85.61,85.84,4296400,85.24
2013-04-29,85.77,86.46,85.60,86.27,3000300,85.67
2013-04-26,85.36,85.98,85.13,85.71,3266300,85.11
2013-04-25,84.55,85.88,84.18,85.42,4825000,84.83
2013-04-24,83.80,83.94,83.12,83.50,4387400,82.92
2013-04-23,83.38,83.99,83.01,83.74,3729400,83.16
2013-04-22,83.01,83.43,82.24,83.26,3410400,82.68
2013-04-19,82.68,83.43,82.41,82.99,3115200,82.41
2013-04-18,83.05,83.19,81.95,82.37,4188900,81.80
2013-04-17,82.89,83.00,82.09,82.52,3113900,81.95
2013-04-16,82.87,83.23,82.50,83.22,2365500,82.64
2013-04-15,83.97,84.09,82.37,82.41,3678000,81.84
2013-04-12,84.15,84.38,83.88,84.14,2491500,83.55
2013-04-11,84.66,84.78,84.17,84.32,3788200,83.73
2013-04-10,83.73,84.82,83.67,84.56,3446100,83.97
2013-04-09,83.50,83.82,82.97,83.55,3164600,82.97
2013-04-08,83.55,83.70,82.85,83.23,3057900,82.65
2013-04-05,82.81,83.64,82.33,83.54,3031000,82.96
2013-04-04,83.46,83.86,83.27,83.67,2730700,83.09
2013-04-03,84.01,84.08,83.11,83.33,4010900,82.75
2013-04-02,83.84,84.35,83.65,83.92,4133000,83.34
2013-04-01,85.81,85.95,84.33,84.47,2959800,83.88
2013-03-28,85.16,85.93,85.01,85.90,3498300,85.30
2013-03-27,84.84,85.54,84.65,85.43,2611500,84.84
2013-03-26,84.85,85.08,84.52,85.04,3184600,84.45
2013-03-25,84.98,85.03,84.11,84.61,4080300,84.02
2013-03-22,83.30,84.86,83.27,84.76,4667000,84.17
2013-03-21,83.79,84.15,82.67,83.00,5824100,82.42
2013-03-20,84.17,84.96,83.83,84.03,5285400,83.44
2013-03-19,85.56,85.85,84.82,85.08,3640300,84.49
2013-03-18,84.81,85.62,84.59,85.43,3374300,84.84
2013-03-15,85.15,85.66,84.98,85.47,5015600,84.87
2013-03-14,85.22,85.70,85.18,85.63,3410800,85.03
2013-03-13,84.53,85.32,84.48,85.18,2885700,84.59
2013-03-12,84.80,84.95,84.12,84.53,2503500,83.94
2013-03-11,84.33,84.95,84.33,84.68,2793400,84.09
2013-03-08,84.70,84.75,84.24,84.44,2225800,83.85
2013-03-07,84.44,84.65,83.98,84.30,2404600,83.71
2013-03-06,84.52,84.74,84.21,84.43,3221500,83.84
2013-03-05,83.23,84.46,83.12,84.07,3581100,83.48
2013-03-04,82.85,82.95,82.40,82.93,2737600,82.35
2013-03-01,82.55,82.99,82.28,82.87,2722800,82.29
2013-02-28,82.99,83.20,82.65,82.65,3744700,82.07
2013-02-27,81.84,83.09,81.78,82.83,4015400,82.25
2013-02-26,82.33,82.51,81.51,81.94,3806400,81.37
2013-02-25,83.28,83.67,81.94,81.94,3996800,81.37
2013-02-22,82.99,83.19,82.67,82.94,2394500,82.36
2013-02-21,82.87,83.14,82.27,82.61,5027400,82.03
2013-02-20,84.64,84.69,83.81,83.81,4456000,82.61
2013-02-19,83.50,84.87,83.48,84.76,5442400,83.55
2013-02-15,83.14,84.11,82.79,83.48,4983000,82.29
2013-02-14,82.19,82.83,81.89,82.69,3761400,81.51
2013-02-13,82.44,82.69,82.39,82.50,2926400,81.32
2013-02-12,83.07,83.08,82.23,82.31,3941800,81.13
2013-02-11,82.11,82.73,82.11,82.69,3063900,81.51
2013-02-08,81.75,82.46,81.66,82.38,3805400,81.20
2013-02-07,80.86,81.81,80.67,81.80,4602400,80.63
2013-02-06,80.42,80.96,80.28,80.91,3733500,79.75
2013-02-05,80.24,80.96,80.04,80.80,3394100,79.64
2013-02-04,79.61,80.25,79.51,79.91,4074200,78.77
2013-02-01,79.20,80.00,79.00,79.97,5220500,78.83
2013-01-31,79.75,80.83,79.25,79.29,9502800,78.16
