Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,43.15,43.45,42.64,42.98,900200,42.98
2013-07-11,43.10,43.26,42.35,43.17,1834100,43.17
2013-07-10,41.79,42.36,41.79,42.34,1149000,42.34
2013-07-09,41.87,42.22,41.73,41.95,1426500,41.95
2013-07-08,41.27,41.99,41.19,41.77,1447300,41.77
2013-07-05,40.66,41.20,40.11,41.04,845400,41.04
2013-07-03,40.29,40.58,40.03,40.37,376000,40.37
2013-07-02,40.37,40.85,40.14,40.66,1037500,40.66
2013-07-01,40.38,40.97,40.38,40.41,1425400,40.41
2013-06-28,40.30,40.54,40.14,40.22,2079600,40.22
2013-06-27,39.65,40.49,39.57,40.34,1422400,40.34
2013-06-26,39.44,39.82,38.95,39.52,1416000,39.52
2013-06-25,38.85,39.21,38.56,39.04,2444300,39.04
2013-06-24,39.19,39.39,38.11,38.74,3235500,38.74
2013-06-21,39.37,39.97,38.96,39.54,2664100,39.54
2013-06-20,39.66,39.87,38.85,39.16,1918300,39.16
2013-06-19,40.70,40.83,39.78,39.90,2024900,39.90
2013-06-18,40.73,41.07,40.55,40.65,1034300,40.65
2013-06-17,41.25,41.39,40.52,40.79,1381900,40.79
2013-06-14,41.36,41.53,40.52,40.88,1178800,40.88
2013-06-13,41.31,41.55,40.80,41.41,971300,41.41
2013-06-12,42.54,42.54,40.60,41.18,1878000,41.18
2013-06-11,42.01,42.51,41.88,42.04,1602100,42.04
2013-06-10,42.78,42.81,42.12,42.27,1122000,42.27
2013-06-07,42.24,42.64,42.02,42.58,999400,42.58
2013-06-06,41.50,41.77,40.57,41.77,1856200,41.77
2013-06-05,42.21,42.21,41.36,41.57,1475300,41.57
2013-06-04,41.75,42.62,41.73,42.31,1890800,42.31
2013-06-03,41.78,41.88,40.85,41.86,1670200,41.86
2013-05-31,41.77,42.60,41.58,41.93,1776500,41.93
2013-05-30,40.66,42.04,40.66,41.87,1966400,41.87
2013-05-29,40.81,41.04,40.49,40.91,1870200,40.91
2013-05-28,42.44,42.61,41.07,41.10,1918200,41.10
2013-05-24,41.87,42.02,41.32,41.84,1666100,41.84
2013-05-23,42.46,42.70,42.16,42.30,1926700,42.30
2013-05-22,43.40,43.93,42.52,42.81,2314300,42.81
2013-05-21,43.65,44.35,43.10,43.27,5872300,43.27
2013-05-20,44.43,44.96,44.21,44.49,2729800,44.49
2013-05-17,43.77,44.71,43.56,44.54,2234800,44.54
2013-05-16,44.56,44.63,43.40,43.64,2477200,43.64
2013-05-15,44.00,44.82,43.94,44.43,1842200,44.43
2013-05-14,43.72,44.26,43.72,44.11,1613500,44.11
2013-05-13,43.33,44.31,43.26,43.75,1339300,43.75
2013-05-10,43.51,44.12,43.48,43.83,849000,43.83
2013-05-09,43.17,43.87,43.00,43.39,1431600,43.39
2013-05-08,43.50,43.65,43.05,43.39,1062000,43.39
2013-05-07,42.36,43.82,42.00,43.66,2795500,43.66
2013-05-06,41.50,41.80,41.21,41.65,847500,41.65
2013-05-03,41.44,42.00,41.36,41.54,1081000,41.54
2013-05-02,40.95,41.11,40.50,40.97,1029700,40.97
2013-05-01,41.43,41.57,40.73,40.90,765300,40.90
2013-04-30,41.57,41.62,40.95,41.44,1602100,41.44
2013-04-29,41.49,41.93,41.26,41.35,1184200,41.35
2013-04-26,41.02,41.31,40.63,41.16,1413900,41.16
2013-04-25,39.87,41.31,39.69,41.04,1816000,41.04
2013-04-24,39.74,39.96,39.44,39.73,850300,39.73
2013-04-23,39.84,40.20,39.03,39.60,1953900,39.60
2013-04-22,39.45,39.72,38.90,39.50,1235900,39.50
2013-04-19,39.50,39.84,39.18,39.46,1131100,39.46
2013-04-18,39.70,39.87,38.83,39.26,1491900,39.26
2013-04-17,40.28,40.29,39.18,39.61,1663100,39.61
2013-04-16,40.27,40.56,39.61,40.54,1665800,40.54
2013-04-15,41.25,41.36,39.97,40.06,1309900,40.06
2013-04-12,41.33,41.63,41.03,41.38,623800,41.38
2013-04-11,40.90,42.19,40.77,41.55,1945600,41.55
2013-04-10,40.59,41.00,40.42,40.81,1136800,40.81
2013-04-09,40.56,40.71,40.07,40.47,1295400,40.47
2013-04-08,39.85,40.79,39.80,40.68,1599400,40.68
2013-04-05,38.97,40.06,38.83,39.97,1698300,39.97
2013-04-04,39.01,39.70,39.01,39.52,1920000,39.52
2013-04-03,39.71,39.80,39.00,39.06,2197600,39.06
2013-04-02,40.45,40.98,39.60,39.87,5763400,39.87
2013-04-01,38.88,39.08,38.19,38.41,2088100,38.41
2013-03-28,39.00,39.16,38.55,38.74,2973300,38.74
2013-03-27,39.04,39.28,38.95,39.14,1307500,39.14
2013-03-26,39.39,39.46,38.78,39.41,1800800,39.41
2013-03-25,38.88,39.45,38.46,39.36,3937400,39.36
2013-03-22,39.67,40.10,38.63,38.75,2771000,38.75
2013-03-21,40.00,40.46,39.46,39.52,2059200,39.52
2013-03-20,39.78,40.54,39.50,40.32,2819100,40.32
2013-03-19,40.11,40.28,38.95,39.40,2151500,39.40
2013-03-18,40.31,40.42,39.97,40.08,1696700,40.08
2013-03-15,40.97,41.26,40.50,40.65,1683800,40.65
2013-03-14,41.71,41.72,40.96,41.17,1791300,41.17
2013-03-13,41.70,42.05,41.13,41.51,1959400,41.51
2013-03-12,40.73,42.30,40.25,41.81,3554100,41.81
2013-03-11,41.36,41.73,40.86,41.50,2807900,41.50
2013-03-08,40.89,41.46,40.40,41.31,1609300,41.31
2013-03-07,40.93,41.25,40.32,40.49,2352000,40.49
2013-03-06,41.50,41.67,40.66,40.74,1403800,40.74
2013-03-05,41.34,41.78,41.34,41.71,1312900,41.71
2013-03-04,40.48,41.65,40.45,41.01,1519000,41.01
2013-03-01,40.34,40.87,40.14,40.81,1389600,40.81
2013-02-28,39.99,40.75,39.84,40.52,1860600,40.52
2013-02-27,39.50,40.38,39.22,40.18,1434600,40.18
2013-02-26,39.27,39.75,38.91,39.56,2518700,39.56
2013-02-25,39.82,40.16,39.00,39.06,2061700,39.06
2013-02-22,40.35,40.50,39.52,39.54,3159300,39.54
2013-02-21,41.06,41.12,39.61,40.26,3769000,40.26
2013-02-20,41.69,41.94,41.12,41.26,2741400,41.26
2013-02-19,41.50,41.98,41.06,41.69,3449200,41.69
2013-02-15,40.88,41.99,40.65,41.29,2802500,41.29
2013-02-14,41.49,41.93,41.26,41.43,1811300,41.43
2013-02-13,42.34,42.53,41.26,41.53,2242400,41.53
2013-02-12,42.68,42.97,42.13,42.25,1702400,42.25
2013-02-11,42.50,43.03,42.25,42.37,1488500,42.37
2013-02-08,43.16,43.28,42.46,42.58,1967300,42.58
2013-02-07,43.74,44.15,42.93,43.17,4256000,43.17
2013-02-06,42.75,43.47,42.60,43.15,1768900,43.15
2013-02-05,42.65,43.23,42.65,42.72,2451800,42.72
2013-02-04,43.23,43.41,42.52,42.57,1979200,42.57
2013-02-01,43.24,43.50,42.58,43.35,2235700,43.35
2013-01-31,42.75,43.06,42.49,42.80,2734500,42.80
2013-01-30,43.13,43.34,42.66,42.80,1498100,42.80
2013-01-29,43.07,43.12,42.69,42.93,1463000,42.93
2013-01-28,43.25,43.49,42.87,43.13,1660700,43.13
