Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,70.99,72.13,70.77,72.01,2447400,72.01
2013-07-11,71.13,71.91,70.48,70.83,2882500,70.83
2013-07-10,69.15,70.26,69.01,70.15,1668900,70.15
2013-07-09,70.01,70.59,68.84,69.08,3224900,69.08
2013-07-08,69.60,70.05,69.51,69.82,2030500,69.82
2013-07-05,68.74,69.39,68.56,69.31,1780300,69.31
2013-07-03,66.85,68.70,66.83,68.44,1039400,68.44
2013-07-02,67.51,67.96,66.82,67.54,2659900,67.54
2013-07-01,68.52,68.76,67.70,67.79,1915800,67.79
2013-06-28,67.27,68.62,67.13,68.03,4486600,68.03
2013-06-27,67.46,68.22,67.32,67.66,1807800,67.66
2013-06-26,66.39,67.20,65.98,67.12,2210100,67.12
2013-06-25,65.69,66.46,65.46,65.62,2624600,65.62
2013-06-24,65.26,65.77,64.55,65.20,3235500,65.20
2013-06-21,65.77,66.11,65.03,65.72,4962500,65.72
2013-06-20,66.35,66.45,65.06,65.25,2443800,65.25
2013-06-19,67.79,68.09,66.87,66.87,2029100,66.87
2013-06-18,67.09,68.00,67.01,67.60,1780900,67.60
2013-06-17,67.05,67.94,66.86,67.28,2065800,67.28
2013-06-14,66.69,67.62,66.50,66.77,1840000,66.77
2013-06-13,65.52,66.99,65.10,66.95,2830000,66.95
2013-06-12,67.14,67.32,65.09,65.26,3383500,65.26
2013-06-11,66.71,67.67,66.28,67.02,2748400,66.72
2013-06-10,67.80,67.82,67.25,67.54,2251300,67.24
2013-06-07,66.73,68.05,66.32,67.81,2610800,67.51
2013-06-06,66.12,66.49,65.29,66.32,2455400,66.02
2013-06-05,66.85,67.05,65.73,66.21,2669100,65.91
2013-06-04,67.28,68.45,66.76,67.04,2841700,66.74
2013-06-03,65.61,66.96,65.28,66.93,2461800,66.63
2013-05-31,67.84,67.92,65.87,65.89,4927600,65.60
2013-05-30,68.63,68.79,67.94,67.95,2352700,67.65
2013-05-29,68.85,68.96,68.23,68.43,2064000,68.12
2013-05-28,69.46,70.03,68.79,69.36,3021800,69.05
2013-05-24,68.53,69.25,67.70,68.96,1877300,68.65
2013-05-23,68.99,69.55,68.47,69.09,2338000,68.78
2013-05-22,69.28,70.91,68.65,69.56,3147600,69.25
2013-05-21,69.08,69.98,68.83,69.58,2384200,69.27
2013-05-20,69.46,69.61,68.89,69.01,2331500,68.70
2013-05-17,69.22,69.79,68.80,69.72,2747200,69.41
2013-05-16,69.31,69.69,68.64,68.77,2436700,68.46
2013-05-15,68.81,69.63,68.29,69.62,2366100,69.31
2013-05-14,68.72,69.32,68.61,68.70,2152900,68.39
2013-05-13,68.71,69.13,68.01,68.57,1951700,68.26
2013-05-10,68.48,69.50,68.48,69.00,1825100,68.69
2013-05-09,68.60,69.03,68.09,68.62,2598700,68.31
2013-05-08,67.69,68.59,67.45,68.58,2942300,68.27
2013-05-07,67.43,67.96,67.29,67.73,2113500,67.43
2013-05-06,67.32,68.04,67.12,67.45,2258400,67.15
2013-05-03,68.18,68.38,67.17,67.27,3248000,66.97
2013-05-02,66.30,67.62,66.23,67.52,4107300,67.22
2013-05-01,65.74,69.08,65.70,65.90,6591200,65.61
2013-04-30,63.55,64.61,63.53,63.99,4946400,63.70
2013-04-29,63.87,64.27,63.56,63.65,4293800,63.37
2013-04-26,64.60,64.69,63.56,63.62,3371800,63.34
2013-04-25,65.05,65.27,63.71,64.49,3755100,64.20
2013-04-24,65.69,66.33,64.61,65.00,2910900,64.71
2013-04-23,66.33,66.48,64.79,65.55,4946700,65.26
2013-04-22,66.35,66.89,65.41,66.52,1600100,66.22
2013-04-19,64.34,66.29,64.32,66.18,2094200,65.88
2013-04-18,65.76,65.86,64.84,65.05,1878600,64.76
2013-04-17,65.86,66.00,64.81,65.56,2846300,65.27
2013-04-16,64.42,66.23,64.36,66.19,4038700,65.89
2013-04-15,66.04,66.23,63.99,64.02,3078600,63.73
2013-04-12,66.30,66.63,65.62,66.50,2029400,66.20
2013-04-11,65.69,66.76,65.69,66.15,2785000,65.85
2013-04-10,63.76,65.77,63.76,65.70,2260000,65.41
2013-04-09,65.78,66.09,64.57,64.60,4605900,64.31
2013-04-08,63.15,65.64,62.96,65.49,5471000,65.20
2013-04-05,61.72,63.12,61.29,63.05,3810000,62.77
2013-04-04,62.18,63.09,62.09,62.96,2872600,62.68
2013-04-03,62.29,62.80,61.88,62.13,4002100,61.85
2013-04-02,62.08,62.63,61.41,61.71,2314000,61.43
2013-04-01,61.77,61.98,60.82,61.72,2435300,61.44
2013-03-28,61.35,62.20,61.30,61.48,2537700,61.20
2013-03-27,60.81,61.54,60.37,61.36,1679200,61.09
2013-03-26,59.33,61.93,59.33,61.34,1967600,61.07
2013-03-25,62.23,62.80,60.70,61.31,2393500,61.04
2013-03-22,61.59,62.41,61.45,61.94,1839900,61.66
2013-03-21,61.23,61.83,61.02,61.24,1823300,60.97
2013-03-20,62.02,62.20,61.61,61.81,2131600,61.53
2013-03-19,62.60,62.72,60.87,61.42,3446600,61.15
2013-03-18,62.47,63.00,62.02,62.52,2532700,62.24
2013-03-15,63.40,64.71,63.07,63.14,5225200,62.86
2013-03-14,62.66,63.99,62.40,63.87,4277000,63.58
2013-03-13,61.60,62.75,61.29,62.35,3271400,62.07
2013-03-12,61.79,62.02,61.31,61.95,2003500,61.40
2013-03-11,61.63,62.16,61.56,61.85,1786800,61.30
2013-03-08,61.00,62.10,60.74,61.91,2697700,61.36
2013-03-07,60.60,61.00,60.27,60.85,2246700,60.31
2013-03-06,60.95,61.17,60.32,60.34,2169200,59.80
2013-03-05,59.98,61.35,59.77,60.69,3698700,60.15
2013-03-04,59.30,59.74,59.15,59.55,3097100,59.02
2013-03-01,58.17,59.79,58.12,59.64,3508600,59.11
2013-02-28,57.97,59.06,57.70,58.50,4849900,57.98
2013-02-27,57.59,58.79,57.14,57.86,4036000,57.35
2013-02-26,57.58,57.99,57.13,57.28,3087300,56.77
2013-02-25,59.34,59.36,57.13,57.31,2607100,56.80
2013-02-22,58.41,59.02,57.99,59.02,2364500,58.49
2013-02-21,58.53,58.62,58.02,58.06,2834100,57.54
2013-02-20,60.09,60.28,58.71,58.80,2629400,58.28
2013-02-19,59.85,60.26,59.54,60.16,2180400,59.62
2013-02-15,59.80,60.00,59.09,59.46,3781300,58.93
2013-02-14,59.20,59.95,58.51,59.95,2300100,59.42
2013-02-13,59.37,59.85,59.14,59.55,2372100,59.02
2013-02-12,58.92,59.48,58.92,59.12,1998400,58.59
2013-02-11,59.33,59.49,58.72,59.31,1613200,58.78
2013-02-08,59.15,59.86,59.10,59.28,2486000,58.75
2013-02-07,58.40,59.13,57.98,58.89,3402600,58.37
2013-02-06,58.50,59.58,58.50,59.20,4545500,58.67
2013-02-05,59.56,59.75,59.17,59.35,3112500,58.82
2013-02-04,60.13,60.27,59.11,59.15,3845000,58.62
2013-02-01,60.23,60.70,59.55,60.54,4743300,60.00
2013-01-31,59.51,60.84,59.03,60.35,5392300,59.81
2013-01-30,58.83,59.56,58.16,59.33,3609100,58.80
2013-01-29,58.31,58.96,58.11,58.76,2398200,58.24
2013-01-28,58.98,59.13,58.63,58.73,1725100,58.21
2013-01-25,59.05,59.39,58.61,59.02,2402900,58.49
2013-01-24,59.12,59.39,58.36,58.56,2941800,58.04
2013-01-23,57.87,59.26,57.87,59.00,2821700,58.48
2013-01-22,59.31,59.32,57.82,58.93,3743400,58.41
2013-01-18,57.57,58.36,57.50,57.88,3582300,57.37
2013-01-17,57.14,57.96,56.97,57.59,3653300,57.08
2013-01-16,57.36,57.76,57.12,57.17,3069500,56.66
2013-01-15,57.32,57.95,57.27,57.82,2347600,57.31
2013-01-14,57.01,57.98,56.74,57.76,3850700,57.25
2013-01-11,58.79,58.92,57.72,57.78,4027600,57.27
2013-01-10,58.05,58.52,57.45,58.50,4465900,57.98
2013-01-09,57.13,58.52,57.08,57.80,4049800,57.29
2013-01-08,55.96,57.05,55.89,57.04,2993200,56.53
2013-01-07,57.02,57.20,55.91,56.29,3638700,55.79
2013-01-04,56.51,57.61,56.25,57.51,4544100,57.00
2013-01-03,56.10,56.85,55.93,56.45,4478600,55.95
2013-01-02,53.86,56.06,53.86,56.01,5236500,55.51
2012-12-31,51.78,52.78,51.67,52.74,3936900,52.27
2012-12-28,52.31,52.49,51.89,51.96,2398800,51.50
2012-12-27,52.86,53.01,51.88,52.61,2719500,52.14
2012-12-26,53.27,53.35,52.58,52.69,2853700,52.22
2012-12-24,52.91,53.36,52.90,53.16,1109400,52.69
2012-12-21,53.01,53.34,52.44,53.09,7898800,52.62
2012-12-20,53.66,53.86,53.33,53.49,4366800,53.01
2012-12-19,54.00,54.14,53.37,53.42,3594800,52.94
2012-12-18,53.51,53.96,52.94,53.80,4831200,53.32
2012-12-17,53.25,53.54,53.19,53.38,5200300,52.91
2012-12-14,53.07,53.39,52.76,53.00,4751600,52.53
2012-12-13,54.35,54.45,53.16,53.35,7032800,52.88
2012-12-12,54.66,54.82,54.01,54.16,3260900,53.68
2012-12-11,54.36,54.79,54.13,54.54,3807700,53.78
2012-12-10,53.45,54.66,53.30,54.22,5385000,53.47
2012-12-07,52.54,53.76,52.54,53.55,6133900,52.81
2012-12-06,51.37,52.61,51.14,52.51,5135700,51.78
2012-12-05,51.24,51.81,50.95,51.39,4046900,50.68
2012-12-04,51.03,51.38,50.83,51.29,3559800,50.58
2012-12-03,51.88,52.29,51.01,51.04,4009800,50.33
2012-11-30,51.35,51.75,51.15,51.61,4040600,50.89
2012-11-29,51.30,51.61,51.00,51.39,3511800,50.68
2012-11-28,50.34,51.03,49.97,50.94,3080900,50.23
2012-11-27,50.15,50.83,50.13,50.38,2625400,49.68
2012-11-26,50.25,50.44,49.82,50.13,2848100,49.43
2012-11-23,50.02,50.49,49.84,50.48,1586700,49.78
2012-11-21,49.86,49.99,49.42,49.71,2953900,49.02
2012-11-20,50.46,50.67,49.22,49.97,7598100,49.28
2012-11-19,49.92,50.79,49.92,50.40,7543700,49.70
2012-11-16,49.12,49.61,48.76,49.46,5778200,48.77
2012-11-15,48.53,50.31,48.53,49.23,13766900,48.55
2012-11-14,48.94,49.04,47.61,47.99,5322200,47.32
2012-11-13,48.95,49.61,48.81,48.82,2998700,48.14
2012-11-12,49.16,49.38,48.70,49.10,2212000,48.42
2012-11-09,48.99,49.73,48.75,49.16,3890100,48.48
2012-11-08,50.15,50.60,49.41,49.43,3036700,48.74
2012-11-07,50.35,50.60,49.27,50.27,4877900,49.57
2012-11-06,50.96,51.00,50.40,50.61,4300800,49.91
2012-11-05,50.82,51.07,50.34,50.69,3764100,49.99
2012-11-02,52.24,52.26,50.75,50.96,4705100,50.25
2012-11-01,51.60,52.03,50.94,51.77,4431200,51.05
2012-10-31,52.50,52.57,50.99,51.29,6254600,50.58
2012-10-26,53.61,53.82,52.04,52.53,4076500,51.80
2012-10-25,54.35,54.35,53.21,53.46,2780700,52.72
2012-10-24,54.00,54.16,53.36,53.82,2304800,53.07
2012-10-23,54.56,54.72,53.62,53.70,2958400,52.95
2012-10-22,54.51,55.46,54.43,55.25,2955500,54.48
2012-10-19,55.64,55.78,54.29,54.67,3438600,53.91
2012-10-18,55.25,56.00,55.10,55.57,2314500,54.80
2012-10-17,55.19,55.60,54.95,55.35,3293700,54.58
2012-10-16,54.75,55.40,54.62,55.10,2113500,54.33
2012-10-15,54.30,54.62,53.91,54.41,4360900,53.65
2012-10-12,54.20,55.10,54.12,54.33,3476200,53.58
2012-10-11,55.19,55.62,54.16,54.30,4029000,53.55
2012-10-10,54.75,55.53,53.80,54.62,7349600,53.86
2012-10-09,56.41,56.65,56.07,56.22,3498400,55.44
2012-10-08,56.00,56.91,55.81,56.64,5736500,55.85
2012-10-05,55.99,56.58,55.67,55.91,3144800,55.13
2012-10-04,54.58,55.97,54.38,55.65,5429900,54.88
2012-10-03,54.06,54.49,53.40,54.31,3808700,53.56
2012-10-02,53.95,54.44,53.62,54.07,3067600,53.32
2012-10-01,53.90,53.99,53.42,53.62,3719500,52.88
2012-09-28,54.22,54.22,53.39,53.59,6215000,52.85
2012-09-27,53.12,54.29,53.02,54.15,4010000,53.40
2012-09-26,54.40,54.48,53.33,53.42,4308400,52.68
2012-09-25,55.17,55.46,54.40,54.48,7502000,53.72
2012-09-24,53.99,55.60,53.80,55.21,7106000,54.44
2012-09-21,54.90,54.90,54.09,54.31,15525700,53.56
2012-09-20,53.31,54.58,53.26,54.38,7392900,53.62
2012-09-19,51.98,54.49,51.59,53.55,10430200,52.81
2012-09-18,52.18,52.47,51.68,51.75,3034400,51.03
2012-09-17,51.85,52.52,51.72,52.47,3568700,51.74
2012-09-14,51.48,52.95,51.28,52.13,7905500,51.41
2012-09-13,51.68,52.39,50.79,52.26,5418400,51.53
2012-09-12,50.86,51.30,50.49,50.81,3442100,50.10
2012-09-11,50.69,51.29,50.30,50.91,3496500,49.93
2012-09-10,50.91,50.96,50.54,50.76,3652900,49.78
2012-09-07,50.16,50.92,49.92,50.86,4242400,49.88
2012-09-06,49.56,50.12,49.18,49.83,5582500,48.87
2012-09-05,49.30,49.78,48.93,48.98,4859400,48.04
2012-09-04,49.87,50.30,49.25,49.36,3531300,48.41
2012-08-31,50.29,50.56,49.86,50.01,2777200,49.05
2012-08-30,50.21,50.30,49.82,49.91,3849000,48.95
2012-08-29,49.28,50.34,49.28,50.33,3909200,49.36
2012-08-28,50.16,50.48,50.05,50.26,2379000,49.29
2012-08-27,50.64,50.65,50.21,50.28,1802900,49.31
2012-08-24,50.11,50.75,49.83,50.61,2550100,49.64
2012-08-23,50.39,50.63,50.11,50.17,2212800,49.21
2012-08-22,50.48,50.76,50.21,50.60,2430500,49.63
2012-08-21,50.89,51.32,50.52,50.62,3991600,49.65
2012-08-20,50.84,51.07,50.70,51.02,3807200,50.04
2012-08-17,50.35,51.57,49.94,51.02,5711800,50.04
2012-08-16,49.69,50.21,49.65,49.94,3217700,48.98
2012-08-15,49.33,49.72,49.10,49.64,2072000,48.69
2012-08-14,49.67,49.93,49.13,49.28,4512100,48.33
2012-08-13,49.16,49.39,48.87,49.34,2073500,48.39
2012-08-10,49.25,49.63,49.10,49.44,3114200,48.49
2012-08-09,49.20,50.05,49.10,49.79,5147000,48.83
2012-08-08,48.99,49.35,48.71,49.10,4692500,48.16
2012-08-07,48.77,49.63,48.77,49.09,5794600,48.15
2012-08-06,46.98,48.93,46.32,48.81,7790300,47.87
2012-08-03,44.86,47.60,44.85,47.20,12472200,46.29
2012-08-02,46.10,46.48,45.55,45.83,5261900,44.95
2012-08-01,47.08,47.45,46.21,46.23,3412000,45.34
2012-07-31,46.40,46.94,46.08,46.71,3067500,45.81
2012-07-30,46.89,46.95,46.53,46.70,2147600,45.80
2012-07-27,46.67,46.88,46.09,46.77,4582800,45.87
2012-07-26,46.00,46.41,45.82,46.04,3447800,45.16
2012-07-25,45.10,45.56,44.99,45.28,4047200,44.41
2012-07-24,45.69,45.69,44.97,45.28,3275200,44.41
2012-07-23,45.85,45.85,45.06,45.60,4265300,44.72
2012-07-20,47.05,47.57,46.36,46.41,5050900,45.52
2012-07-19,47.58,47.65,46.52,46.65,4608600,45.75
2012-07-18,46.13,47.95,46.13,47.62,4267600,46.70
2012-07-17,46.77,47.52,46.58,46.96,3812900,46.06
2012-07-16,47.29,47.50,46.80,46.99,2316800,46.09
2012-07-13,46.27,47.54,46.20,47.31,2632900,46.40
2012-07-12,46.33,46.49,45.88,46.28,2855100,45.39
2012-07-11,46.75,47.32,46.32,46.73,3771900,45.83
2012-07-10,46.80,47.32,46.38,46.86,5023500,45.96
2012-07-09,47.73,47.85,47.29,47.61,2294000,46.69
