Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,87.75,87.75,86.15,86.96,575200,86.96
2013-07-11,86.70,87.62,86.19,87.51,1120100,87.51
2013-07-10,85.20,85.78,84.56,85.47,1079200,85.47
2013-07-09,85.11,85.98,84.62,85.52,1215400,85.52
2013-07-08,84.45,85.15,84.44,84.70,1549400,84.70
2013-07-05,84.03,84.50,82.98,84.44,1274500,84.44
2013-07-03,83.74,84.62,83.19,84.15,910500,84.15
2013-07-02,82.78,84.52,82.73,84.51,945300,84.51
2013-07-01,83.19,83.77,82.24,83.01,999100,83.01
2013-06-28,82.68,83.45,81.96,82.85,1504700,82.85
2013-06-27,81.18,83.02,81.10,82.93,913300,82.93
2013-06-26,79.97,80.96,79.95,80.60,1047000,80.60
2013-06-25,78.77,79.75,77.67,79.19,1234600,79.19
2013-06-24,77.40,79.84,76.19,78.14,1238300,78.14
2013-06-21,77.39,78.97,76.75,78.33,2018200,78.33
2013-06-20,80.35,80.35,76.35,76.73,1125000,76.73
2013-06-19,83.98,84.19,80.70,80.91,1069500,80.91
2013-06-18,83.14,84.48,82.73,83.99,982900,83.99
2013-06-17,83.26,84.32,82.78,83.18,1102300,83.18
2013-06-14,82.28,83.85,81.85,82.85,1288700,82.85
2013-06-13,79.31,82.61,79.31,82.51,1106200,82.51
2013-06-12,80.59,80.70,79.07,79.39,897400,79.39
2013-06-11,80.47,80.80,79.54,79.85,1264300,79.85
2013-06-10,81.60,81.90,80.72,81.10,1238000,81.10
2013-06-07,80.59,81.95,80.33,81.49,1853900,81.49
2013-06-06,79.17,80.61,78.55,80.61,896400,80.61
2013-06-05,79.95,80.17,78.78,79.21,874900,79.21
2013-06-04,80.78,81.08,79.97,80.04,1005400,80.04
2013-06-03,79.95,81.05,79.00,80.82,1035100,80.82
2013-05-31,81.00,81.93,79.95,79.95,1250900,79.95
2013-05-30,82.79,83.27,81.30,81.39,1063400,81.39
2013-05-29,83.12,83.31,81.85,82.69,1088600,82.69
2013-05-28,85.22,85.22,83.32,83.60,1254200,83.60
2013-05-24,83.65,84.46,82.71,84.27,960500,84.27
2013-05-23,84.91,84.98,83.64,83.92,1291800,83.92
2013-05-22,87.70,88.73,85.18,85.67,794200,85.67
2013-05-21,87.88,88.00,87.53,87.71,758000,87.71
2013-05-20,87.46,87.83,87.20,87.67,804200,87.67
2013-05-17,87.68,88.18,86.96,87.46,879300,87.46
2013-05-16,87.93,88.51,87.38,87.59,979600,87.59
2013-05-15,86.81,88.31,86.44,88.15,1252300,88.15
2013-05-14,86.70,87.21,86.36,86.99,1143500,86.99
2013-05-13,86.43,86.77,85.98,86.76,1329700,86.76
2013-05-10,86.22,86.45,85.47,86.27,1127800,86.27
2013-05-09,87.07,87.49,85.92,86.16,1203400,86.16
2013-05-08,86.77,87.77,86.62,87.43,1180800,86.70
2013-05-07,87.00,87.00,83.60,86.82,1097100,86.10
2013-05-06,86.81,88.16,86.81,87.84,882700,87.11
2013-05-03,87.73,87.91,86.91,86.93,769200,86.20
2013-05-02,87.40,87.96,87.00,87.25,666000,86.52
2013-05-01,86.94,88.18,86.76,87.40,818500,86.67
2013-04-30,86.97,87.72,86.64,87.56,763700,86.83
2013-04-29,86.22,87.15,85.79,86.94,637800,86.21
2013-04-26,86.55,87.07,85.82,85.93,797000,85.21
2013-04-25,86.96,87.21,85.63,86.54,588100,85.82
