Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,104.22,104.88,104.22,104.53,257800,104.53
2013-07-11,105.11,105.23,103.62,104.49,319500,104.49
2013-07-10,101.96,104.31,101.96,104.28,524100,104.28
2013-07-09,102.16,102.72,101.60,102.19,523800,102.19
2013-07-08,102.20,102.77,101.54,101.70,377400,101.70
2013-07-05,101.21,102.02,100.82,102.01,288900,102.01
2013-07-03,99.31,100.75,99.31,100.47,138900,100.47
2013-07-02,102.27,103.52,99.92,100.36,561400,100.36
2013-07-01,100.55,104.24,100.55,102.37,1055100,102.37
2013-06-28,100.03,100.80,99.16,100.05,554000,100.05
2013-06-27,99.85,100.51,99.41,100.38,312900,100.38
2013-06-26,100.72,100.72,99.00,99.42,349600,99.42
2013-06-25,99.62,101.65,98.89,99.73,603800,99.73
2013-06-24,98.26,99.09,97.57,97.63,802000,97.63
2013-06-21,98.11,99.75,97.89,99.26,688900,99.26
2013-06-20,99.26,99.26,97.04,97.36,392700,97.36
2013-06-19,102.01,102.38,100.20,100.22,373700,100.22
2013-06-18,100.25,102.69,100.21,101.90,732500,101.90
2013-06-17,99.53,100.56,99.26,100.21,295400,100.21
2013-06-14,98.97,99.57,98.40,98.60,210100,98.60
2013-06-13,97.24,99.24,96.76,99.02,319100,99.02
2013-06-12,97.91,98.19,97.17,97.18,453100,97.18
2013-06-11,96.98,98.05,96.84,97.18,314300,97.18
2013-06-10,98.59,98.66,97.48,98.33,497400,98.33
2013-06-07,97.97,98.44,97.36,98.38,559300,98.38
2013-06-06,96.19,97.33,95.92,97.33,348900,97.33
2013-06-05,96.36,96.94,95.45,96.22,526300,96.22
2013-06-04,97.00,97.50,96.06,96.59,506000,96.59
2013-06-03,97.09,97.28,95.88,97.01,665600,97.01
2013-05-31,97.23,98.16,96.67,96.71,625500,96.71
2013-05-30,97.80,98.56,97.17,97.72,681800,97.72
2013-05-29,98.56,98.59,97.24,97.57,501400,97.57
2013-05-28,98.66,99.66,98.66,99.27,617900,99.27
2013-05-24,97.08,97.99,96.04,97.79,463200,97.79
2013-05-23,95.89,97.28,95.52,97.17,518900,97.17
2013-05-22,98.16,99.19,96.12,96.70,560300,96.70
2013-05-21,97.75,98.87,97.70,98.08,243900,98.08
2013-05-20,97.71,98.49,97.35,97.53,226800,97.53
2013-05-17,97.50,98.38,97.09,98.00,344700,98.00
2013-05-16,98.09,98.35,96.93,97.07,361500,97.07
2013-05-15,97.53,98.99,97.20,98.49,528900,98.49
2013-05-14,96.50,97.77,96.37,97.75,935700,97.75
2013-05-13,96.52,97.19,96.06,96.50,371000,96.50
2013-05-10,96.50,97.34,96.50,96.91,619900,96.91
2013-05-09,95.59,97.12,95.59,96.42,653500,96.42
2013-05-08,94.35,95.82,94.26,95.80,679200,95.80
2013-05-07,93.52,94.87,93.15,94.47,616900,94.47
2013-05-06,92.90,93.77,92.77,93.53,460900,93.53
2013-05-03,93.63,94.04,92.96,93.00,301700,93.00
2013-05-02,92.80,93.52,92.59,92.63,451900,92.63
2013-05-01,92.29,93.13,92.04,92.38,486000,92.38
2013-04-30,92.15,92.73,91.24,92.40,823900,92.40
2013-04-29,92.42,92.58,91.67,92.45,408100,92.45
2013-04-26,92.43,92.62,91.45,92.30,332800,92.30
2013-04-25,92.77,93.48,92.64,92.88,370300,92.88
2013-04-24,92.10,92.96,91.50,92.48,501500,92.48
2013-04-23,89.45,95.52,89.23,92.10,1856800,92.10
2013-04-22,88.68,89.26,87.95,89.23,604900,89.23
2013-04-19,88.44,88.89,87.85,88.45,588900,88.45
2013-04-18,89.53,89.57,87.90,88.24,806200,88.24
2013-04-17,91.11,91.35,89.26,89.85,756000,89.85
2013-04-16,91.97,92.46,91.30,91.69,499200,91.69
2013-04-15,93.97,94.25,91.28,91.31,584800,91.31
2013-04-12,94.65,95.25,93.46,94.33,584500,94.33
2013-04-11,95.29,96.25,95.29,95.46,232300,95.46
2013-04-10,93.60,95.33,93.48,95.12,442000,95.12
2013-04-09,93.44,93.83,92.98,93.15,239800,93.15
2013-04-08,92.31,93.03,92.09,93.03,287000,93.03
2013-04-05,93.21,93.21,92.26,92.39,397600,92.39
2013-04-04,94.37,94.90,93.85,94.57,275300,94.57
2013-04-03,95.50,95.51,93.98,94.29,373000,94.29
2013-04-02,94.02,95.50,93.93,95.50,519700,95.50
2013-04-01,93.85,93.86,92.99,93.70,347500,93.70
2013-03-28,93.31,94.00,92.83,93.91,617000,93.91
2013-03-27,92.58,93.59,92.37,93.16,378900,93.16
2013-03-26,92.98,93.93,92.94,93.26,404000,93.26
2013-03-25,93.40,93.50,91.59,92.55,364700,92.55
2013-03-22,93.56,93.59,92.37,93.26,305500,93.26
2013-03-21,94.34,94.34,93.02,93.11,302700,93.11
2013-03-20,94.46,94.93,94.11,94.78,286200,94.78
2013-03-19,94.21,94.51,93.47,93.99,299000,93.99
2013-03-18,94.03,94.68,93.63,93.97,326700,93.97
2013-03-15,94.29,94.96,94.10,94.82,448400,94.82
2013-03-14,94.37,94.67,93.98,94.66,269300,94.66
2013-03-13,94.23,94.60,93.63,94.24,295600,94.24
2013-03-12,94.78,94.92,93.76,94.24,301300,94.24
2013-03-11,94.27,94.78,93.94,94.71,259900,94.71
2013-03-08,94.68,94.78,93.95,94.48,325200,94.48
2013-03-07,94.73,94.98,94.17,94.26,202100,94.26
2013-03-06,95.13,95.38,94.46,94.62,182400,94.62
2013-03-05,94.08,95.41,94.08,94.96,412300,94.96
2013-03-04,93.34,93.77,92.73,93.74,248800,93.74
2013-03-01,92.32,93.82,91.56,93.77,405400,93.77
2013-02-28,93.00,93.63,92.21,92.72,455600,92.72
