Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,42.25,42.54,42.10,42.48,1382600,42.48
2013-07-11,42.33,42.59,42.00,42.26,1727200,42.26
2013-07-10,41.30,41.89,41.17,41.74,1353300,41.74
2013-07-09,41.00,41.43,40.94,41.37,1229300,41.37
2013-07-08,40.49,41.09,40.36,40.85,1399700,40.85
2013-07-05,40.36,40.46,39.67,40.27,1028900,40.27
2013-07-03,40.25,40.42,40.18,40.30,1116200,40.30
2013-07-02,40.13,40.58,40.13,40.42,3038300,40.42
2013-07-01,40.92,41.01,40.05,40.29,3512500,40.29
2013-06-28,40.44,41.14,39.93,40.99,4176700,40.99
2013-06-27,40.90,41.26,40.84,40.98,1199600,40.98
2013-06-26,40.52,40.90,40.42,40.69,1441600,40.69
2013-06-25,40.10,40.48,39.70,40.27,1383500,40.27
2013-06-24,39.37,40.06,39.11,39.82,1534800,39.82
2013-06-21,39.48,39.86,39.05,39.71,2247800,39.71
2013-06-20,40.20,40.24,39.04,39.18,2155600,39.18
2013-06-19,41.60,41.62,40.49,40.49,1435200,40.49
2013-06-18,41.45,41.65,41.24,41.60,1128600,41.60
2013-06-17,41.41,41.74,41.16,41.41,951600,41.41
2013-06-14,41.15,41.46,41.06,41.18,837400,41.18
2013-06-13,40.30,41.27,40.30,41.19,919200,41.19
2013-06-12,41.16,41.19,40.29,40.38,1092600,40.38
2013-06-11,40.78,41.21,40.72,40.89,861600,40.89
2013-06-10,41.26,41.38,40.91,41.12,642800,41.12
2013-06-07,41.00,41.43,40.80,41.26,837200,41.26
2013-06-06,40.38,40.96,40.37,40.96,960900,40.96
2013-06-05,40.69,40.69,40.27,40.38,994600,40.38
2013-06-04,41.04,41.12,40.52,40.82,1306900,40.82
2013-06-03,40.94,41.15,40.33,41.04,1665400,41.04
2013-05-31,40.92,41.56,40.81,40.81,1847300,40.81
2013-05-30,41.07,41.94,40.97,41.05,1540100,41.05
2013-05-29,41.70,41.71,40.56,40.89,1918400,40.89
2013-05-28,42.21,42.34,41.56,41.94,1461000,41.94
2013-05-24,42.30,42.39,41.84,41.98,993300,41.98
2013-05-23,42.54,42.56,41.72,42.41,1645600,42.41
2013-05-22,43.44,43.92,42.64,42.85,1340800,42.85
2013-05-21,43.28,43.56,43.10,43.50,1410900,43.50
2013-05-20,43.33,43.71,43.08,43.26,1668400,43.26
2013-05-17,43.40,43.72,43.32,43.70,1283400,43.70
2013-05-16,43.46,43.55,43.18,43.25,1233300,43.25
2013-05-15,43.02,43.75,42.95,43.55,828900,43.55
2013-05-14,42.72,43.20,42.71,43.05,1155000,43.05
2013-05-13,42.93,43.00,42.67,42.75,1045300,42.75
2013-05-10,42.97,43.15,42.64,43.12,1455600,43.12
2013-05-09,43.86,43.91,42.68,43.13,1422000,42.79
2013-05-08,44.13,44.38,43.65,43.83,1289600,43.48
2013-05-07,43.82,44.22,43.77,44.21,1581800,43.86
2013-05-06,44.49,44.56,43.71,43.79,1078900,43.44
2013-05-03,44.66,44.75,44.39,44.53,1531500,44.18
2013-05-02,44.37,44.50,44.10,44.29,1036800,43.94
2013-05-01,44.78,44.84,44.22,44.34,1272800,43.99
2013-04-30,44.63,45.00,44.36,44.94,2292700,44.59
2013-04-29,44.05,44.65,44.00,44.46,1066800,44.11
2013-04-26,44.15,44.41,43.99,44.03,771000,43.68
2013-04-25,44.12,44.39,43.90,44.14,777300,43.79
2013-04-24,43.89,44.19,43.66,43.99,1373800,43.64
2013-04-23,43.75,43.82,43.44,43.79,1031900,43.44
2013-04-22,43.60,43.78,43.38,43.59,942200,43.25
2013-04-19,43.10,43.62,42.97,43.61,917200,43.27
2013-04-18,42.96,43.13,42.73,42.98,1574300,42.64
2013-04-17,43.13,43.22,42.52,42.80,2000900,42.46
2013-04-16,42.93,43.37,42.59,43.24,914900,42.90
2013-04-15,43.43,43.67,42.83,42.83,1323700,42.49
2013-04-12,43.14,43.60,43.14,43.59,1184100,43.25
2013-04-11,43.20,43.32,42.99,43.20,1344000,42.86
2013-04-10,43.07,43.40,43.05,43.20,1252000,42.86
2013-04-09,43.26,43.29,42.88,43.02,1005800,42.68
2013-04-08,42.79,43.20,42.64,43.19,891000,42.85
2013-04-05,42.39,42.93,42.31,42.85,724000,42.51
2013-04-04,42.55,42.70,42.41,42.65,1170200,42.31
