Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,42.60,43.05,42.20,42.63,35799500,42.63
2013-07-11,42.47,42.52,41.44,41.89,32231700,41.89
2013-07-10,42.55,42.58,41.74,42.07,25414800,42.07
2013-07-09,42.95,43.08,42.23,42.70,22540600,42.70
2013-07-08,42.36,42.97,42.29,42.83,22830100,42.83
2013-07-05,41.46,42.07,41.43,42.07,14933800,42.07
2013-07-03,40.98,41.30,40.79,41.22,8074400,41.22
2013-07-02,41.20,41.58,41.01,41.22,15558700,41.22
2013-07-01,41.56,41.96,41.27,41.36,16177100,41.36
2013-06-28,41.56,41.62,41.05,41.27,20249300,41.27
2013-06-27,41.38,41.74,41.15,41.56,18800400,41.56
2013-06-26,40.73,41.30,40.73,41.02,19405900,41.02
2013-06-25,40.16,40.53,39.89,40.30,22263000,40.30
2013-06-24,40.48,40.50,39.40,39.80,31047900,39.80
2013-06-21,40.64,41.20,40.15,40.96,38847800,40.96
2013-06-20,40.29,40.66,39.98,40.09,29302200,40.09
2013-06-19,40.78,41.18,40.62,40.66,20898800,40.66
2013-06-18,40.72,40.97,40.63,40.84,15784400,40.84
2013-06-17,40.59,40.71,40.34,40.61,15494200,40.61
2013-06-14,40.84,41.06,40.10,40.16,19475700,40.16
2013-06-13,40.29,40.99,40.20,40.94,17377700,40.94
2013-06-12,40.79,40.95,40.12,40.27,18320100,40.27
2013-06-11,40.78,41.20,40.59,40.66,18368500,40.66
2013-06-10,41.50,41.69,41.17,41.27,16340600,41.27
2013-06-07,41.23,41.38,40.81,41.25,23459300,41.25
2013-06-06,39.70,40.76,39.60,40.72,24721900,40.72
2013-06-05,40.24,40.55,39.66,39.82,21099300,39.82
2013-06-04,40.80,41.17,40.42,40.44,18708700,40.44
2013-06-03,40.83,40.96,39.99,40.73,23638000,40.73
2013-05-31,41.26,41.35,40.55,40.55,26904700,40.55
2013-05-30,40.79,41.59,40.70,41.25,22022700,41.25
2013-05-29,40.36,40.90,40.21,40.75,22848100,40.75
2013-05-28,40.80,40.98,40.41,40.52,20993200,40.52
2013-05-24,39.52,40.30,39.50,40.24,17121900,40.24
2013-05-23,39.40,40.44,39.40,40.01,24730000,40.01
2013-05-22,40.72,41.10,39.99,40.10,30388300,40.10
2013-05-21,40.33,40.80,40.17,40.68,23049200,40.68
2013-05-20,39.90,40.29,39.85,40.20,18939000,40.20
2013-05-17,39.42,39.91,39.33,39.88,24390400,39.88
2013-05-16,39.28,39.74,39.09,39.26,22959500,39.26
2013-05-15,38.70,39.38,38.61,39.30,25696800,39.30
2013-05-14,38.26,38.79,38.21,38.76,21730600,38.76
2013-05-13,38.04,38.29,37.83,38.20,12774700,38.20
2013-05-10,38.04,38.16,37.82,38.03,16390500,38.03
2013-05-09,38.44,38.51,37.78,37.89,27766600,37.89
2013-05-08,38.14,38.67,38.05,38.45,18741300,38.45
2013-05-07,38.02,38.56,37.91,38.40,23273300,38.10
2013-05-06,37.86,37.99,37.74,37.90,14228700,37.60
2013-05-03,37.74,37.92,37.60,37.74,15878400,37.45
2013-05-02,37.51,37.65,37.38,37.41,13205400,37.12
2013-05-01,37.90,37.96,37.29,37.46,17639200,37.17
2013-04-30,37.96,38.04,37.54,37.98,20585300,37.68
2013-04-29,37.95,37.98,37.76,37.88,16016500,37.58
2013-04-26,37.56,37.88,37.46,37.88,17814600,37.58
2013-04-25,37.47,37.80,37.33,37.64,14861200,37.35
2013-04-24,37.20,37.45,37.14,37.34,16740700,37.05
2013-04-23,36.85,37.14,36.71,37.13,19883100,36.84
2013-04-22,36.81,36.86,36.40,36.73,14432000,36.44
2013-04-19,36.41,36.73,36.29,36.69,18107000,36.40
2013-04-18,36.59,36.64,36.19,36.27,19322200,35.99
