Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,8.13,8.17,8.02,8.15,4753400,8.15
2013-07-11,8.20,8.23,8.02,8.13,5044100,8.13
2013-07-10,7.99,8.22,7.97,8.15,9623000,8.15
2013-07-09,7.93,7.99,7.85,7.98,5677000,7.98
2013-07-08,7.90,7.93,7.78,7.90,6456900,7.90
2013-07-05,7.83,7.90,7.63,7.90,5949200,7.90
2013-07-03,7.70,7.88,7.65,7.86,3974200,7.86
2013-07-02,7.73,7.75,7.50,7.69,10686500,7.69
2013-07-01,7.66,7.90,7.66,7.73,6559200,7.73
2013-06-28,7.82,7.85,7.67,7.71,11153000,7.71
2013-06-27,7.70,7.84,7.69,7.82,6668100,7.82
2013-06-26,7.74,7.74,7.50,7.65,9846700,7.65
2013-06-25,7.85,7.96,7.76,7.87,9284000,7.62
2013-06-24,7.94,7.95,7.75,7.84,8056300,7.59
2013-06-21,7.87,8.00,7.83,7.94,9955800,7.69
2013-06-20,7.94,7.95,7.78,7.80,9985500,7.55
2013-06-19,8.13,8.15,7.97,7.98,7193300,7.73
2013-06-18,8.17,8.28,8.08,8.09,5343500,7.83
2013-06-17,8.34,8.39,8.06,8.13,6679300,7.87
2013-06-14,8.15,8.32,8.13,8.31,4623800,8.05
2013-06-13,8.05,8.23,8.05,8.20,6585300,7.94
2013-06-12,8.05,8.12,8.00,8.09,6278900,7.83
2013-06-11,7.98,8.10,7.92,7.97,5775800,7.72
2013-06-10,7.95,8.00,7.88,8.00,7096300,7.75
2013-06-07,7.98,8.02,7.84,7.89,6274800,7.64
2013-06-06,7.90,8.03,7.84,7.89,12277100,7.64
2013-06-05,7.97,8.06,7.88,7.92,12821900,7.67
2013-06-04,8.04,8.07,7.89,7.98,13972900,7.73
2013-06-03,8.12,8.16,8.02,8.04,7725500,7.78
2013-05-31,8.21,8.33,8.03,8.03,7695700,7.77
2013-05-30,8.30,8.33,8.16,8.26,5620700,8.00
2013-05-29,8.50,8.50,8.18,8.25,7245900,7.99
2013-05-28,8.75,8.76,8.46,8.47,4254200,8.20
2013-05-24,8.61,8.72,8.55,8.67,3063300,8.39
2013-05-23,8.48,8.70,8.47,8.69,4970700,8.41
2013-05-22,8.78,8.85,8.48,8.51,6028700,8.24
2013-05-21,8.70,8.81,8.68,8.79,5208400,8.51
2013-05-20,8.69,8.75,8.66,8.72,4013300,8.44
2013-05-17,8.62,8.75,8.61,8.69,3828900,8.41
2013-05-16,8.58,8.73,8.57,8.61,5828000,8.34
2013-05-15,8.39,8.64,8.36,8.58,6480400,8.31
2013-05-14,8.40,8.45,8.35,8.42,5091100,8.15
2013-05-13,8.37,8.46,8.32,8.37,4902900,8.10
2013-05-10,8.15,8.38,8.15,8.36,6478400,8.09
2013-05-09,8.05,8.24,7.89,8.20,31431700,7.94
2013-05-08,8.39,8.69,8.39,8.52,14606400,8.25
2013-05-07,8.40,8.47,8.34,8.37,8559900,8.10
2013-05-06,8.32,8.44,8.30,8.36,6994300,8.09
2013-05-03,8.41,8.45,8.32,8.36,6944300,8.09
2013-05-02,8.49,8.57,8.36,8.38,5679900,8.11
2013-05-01,8.53,8.64,8.47,8.49,6382900,8.22
2013-04-30,8.50,8.54,8.43,8.52,7563500,8.25
2013-04-29,8.45,8.51,8.42,8.49,4437200,8.22
2013-04-26,8.61,8.68,8.44,8.45,8825900,8.18
2013-04-25,8.72,8.84,8.70,8.74,5448000,8.46
2013-04-24,8.70,8.72,8.43,8.71,7583900,8.43
2013-04-23,8.57,8.74,8.55,8.73,4842700,8.45
2013-04-22,8.61,8.63,8.46,8.53,4116100,8.26
2013-04-19,8.63,8.64,8.53,8.64,3326300,8.37
2013-04-18,8.60,8.67,8.53,8.58,5776900,8.31
2013-04-17,8.58,8.59,8.41,8.56,7851300,8.29
2013-04-16,8.62,8.75,8.55,8.64,6207400,8.37
