Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,85.60,85.66,84.89,85.40,1539000,85.40
2013-07-11,85.45,85.60,84.75,85.41,1711300,85.41
2013-07-10,84.28,85.06,84.11,84.75,1836200,84.75
2013-07-09,83.29,84.71,83.03,84.09,2069400,84.09
2013-07-08,82.35,83.16,81.96,83.09,2042700,83.09
2013-07-05,81.58,82.00,80.98,81.96,1064900,81.96
2013-07-03,81.23,81.45,80.75,81.09,2289000,81.09
2013-07-02,81.53,82.24,81.20,81.38,2214500,81.38
2013-07-01,82.00,82.24,81.60,81.65,2070800,81.65
2013-06-28,81.55,82.33,81.10,81.84,2247200,81.84
2013-06-27,80.46,81.85,80.40,81.70,1817400,81.70
2013-06-26,80.47,81.00,79.42,80.21,1551700,80.21
2013-06-25,80.47,80.68,79.34,79.89,1950100,79.89
2013-06-24,78.47,81.00,78.47,79.98,5193000,79.98
2013-06-21,78.12,79.59,77.86,79.40,3232500,79.40
2013-06-20,77.81,79.27,77.40,77.48,2717100,77.48
2013-06-19,79.52,80.00,78.50,78.52,1904000,78.52
2013-06-18,78.76,79.79,78.71,79.64,1609900,79.64
2013-06-17,78.71,79.25,78.15,78.77,1561300,78.77
2013-06-14,78.83,79.47,77.81,78.16,1353000,78.16
2013-06-13,77.84,79.03,77.12,78.93,1157200,78.93
2013-06-12,78.72,78.86,77.80,78.07,1449000,78.07
2013-06-11,78.37,78.94,77.30,78.38,1814500,78.38
2013-06-10,77.43,79.78,77.43,79.56,2806300,79.56
2013-06-07,76.90,77.87,76.59,77.39,1439500,77.39
2013-06-06,75.43,76.44,75.02,76.44,1230400,76.44
2013-06-05,77.39,77.43,75.22,75.68,1718500,75.31
2013-06-04,77.23,77.75,76.68,77.44,1822800,77.06
2013-06-03,77.07,77.69,76.12,77.50,2199300,77.12
2013-05-31,79.05,79.47,76.93,76.97,1744800,76.59
2013-05-30,78.01,79.60,77.77,79.38,1484600,78.99
2013-05-29,78.13,78.50,77.72,78.00,1404300,77.61
2013-05-28,77.83,79.15,77.70,78.72,1493400,78.33
2013-05-24,77.34,77.52,76.18,76.98,1547300,76.60
2013-05-23,77.21,78.10,77.05,77.98,1305700,77.59
2013-05-22,78.02,79.58,77.68,77.81,1735800,77.42
2013-05-21,77.53,78.66,77.24,78.10,1531100,77.71
2013-05-20,77.79,78.33,77.32,77.49,1584700,77.11
2013-05-17,76.82,77.89,76.82,77.81,1483600,77.42
2013-05-16,77.42,77.80,76.79,76.84,1578000,76.46
2013-05-15,77.98,78.10,77.40,77.83,1768500,77.44
2013-05-14,76.51,78.01,76.51,78.00,3708700,77.61
2013-05-13,75.53,76.03,75.16,76.01,1470100,75.63
2013-05-10,75.39,75.98,75.24,75.89,1332700,75.51
2013-05-09,74.67,75.49,74.51,75.39,1527000,75.02
2013-05-08,74.29,75.35,74.18,75.05,1740600,74.68
2013-05-07,73.64,75.04,73.47,74.71,2329800,74.34
2013-05-06,73.82,74.26,73.37,73.51,1070800,73.15
2013-05-03,73.83,74.32,73.65,73.82,1741800,73.45
2013-05-02,72.62,73.63,72.53,73.42,2354500,73.06
2013-05-01,72.50,73.53,72.05,72.27,1641000,71.91
2013-04-30,73.22,73.22,71.65,72.92,2649200,72.56
2013-04-29,73.26,73.98,72.75,72.90,1715800,72.54
2013-04-26,73.43,74.21,72.38,72.87,1807300,72.51
2013-04-25,73.65,74.27,73.18,73.75,3121400,73.38
2013-04-24,72.00,74.43,71.39,73.33,4394100,72.97
