Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,42.00,42.19,41.83,42.07,1192500,42.07
2013-07-11,41.83,42.00,41.66,41.98,1147200,41.98
2013-07-10,41.22,41.74,41.22,41.40,2134400,41.40
2013-07-09,40.78,41.38,40.75,41.24,1785600,41.24
2013-07-08,40.79,41.05,40.42,40.68,2309800,40.68
2013-07-05,40.29,40.78,40.08,40.75,1213600,40.75
2013-07-03,40.25,40.30,39.93,40.18,748200,40.18
2013-07-02,40.56,40.98,40.25,40.40,1258600,40.40
2013-07-01,40.40,40.99,40.34,40.68,1503000,40.68
2013-06-28,40.14,40.51,39.72,40.33,2424200,40.33
2013-06-27,40.23,40.40,40.03,40.21,1540400,40.21
2013-06-26,39.41,40.09,39.36,40.06,2528600,40.06
2013-06-25,39.32,39.54,38.81,39.11,2852400,39.11
2013-06-24,39.45,39.57,39.03,39.04,2439500,39.04
2013-06-21,39.83,40.03,39.45,39.86,2891400,39.86
2013-06-20,39.95,39.95,39.47,39.54,2009000,39.54
2013-06-19,40.84,40.85,40.16,40.17,1646500,40.17
2013-06-18,40.54,40.93,40.40,40.85,1237100,40.85
2013-06-17,39.92,40.62,39.74,40.45,2408100,40.45
2013-06-14,39.75,39.94,39.64,39.68,2317600,39.68
2013-06-13,39.68,40.00,39.59,39.84,3272700,39.84
2013-06-12,40.48,40.48,40.10,40.14,1642400,40.14
2013-06-11,40.25,40.60,40.12,40.26,1639800,40.26
2013-06-10,40.61,40.75,40.37,40.45,2574000,40.45
2013-06-07,39.70,40.52,38.82,40.47,5462600,40.47
2013-06-06,40.90,41.09,40.04,40.59,2935600,40.59
2013-06-05,41.47,41.47,40.73,40.98,2344800,40.98
2013-06-04,41.53,41.93,41.53,41.77,2935700,41.41
2013-06-03,42.00,42.00,41.40,41.62,2471500,41.26
2013-05-31,42.02,42.40,41.93,41.93,2529700,41.56
2013-05-30,41.95,42.34,41.92,42.15,1238800,41.78
2013-05-29,42.30,42.32,41.64,41.90,2034800,41.53
2013-05-28,42.63,42.80,42.20,42.45,2102100,42.08
2013-05-24,42.09,42.44,42.05,42.38,1216400,42.01
2013-05-23,41.79,42.50,41.79,42.30,1519500,41.93
2013-05-22,42.70,43.00,42.15,42.32,1955900,41.95
2013-05-21,42.62,42.94,42.59,42.75,1659200,42.38
2013-05-20,42.39,42.68,42.33,42.59,1844400,42.22
2013-05-17,42.04,42.41,42.01,42.39,1892900,42.02
