Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,510.66,517.00,508.99,515.33,11900,515.33
2013-07-11,504.01,511.25,504.00,508.05,19100,508.05
2013-07-10,497.60,501.55,494.60,500.38,25300,500.38
2013-07-09,495.95,499.30,488.33,497.60,30900,497.60
2013-07-08,498.00,500.00,494.25,494.35,24800,494.35
2013-07-05,497.70,498.00,490.75,498.00,14400,498.00
2013-07-03,493.39,496.10,492.29,494.59,11800,494.59
2013-07-02,489.52,495.70,488.00,495.68,19100,495.68
2013-07-01,484.00,494.42,483.41,491.18,30900,491.18
2013-06-28,486.90,488.34,481.14,483.77,26900,483.77
2013-06-27,485.64,488.92,484.76,486.14,16100,486.14
2013-06-26,486.92,487.76,483.13,484.14,12600,484.14
2013-06-25,483.88,483.89,479.78,483.30,19900,483.30
2013-06-24,476.62,482.36,474.05,477.93,26200,477.93
2013-06-21,481.64,483.62,478.00,478.82,30000,478.82
2013-06-20,484.81,492.00,476.72,478.07,60000,478.07
2013-06-19,490.05,492.84,485.64,487.00,49500,487.00
2013-06-18,489.00,493.62,486.00,491.66,33300,491.66
2013-06-17,489.04,492.40,485.35,487.52,48400,487.52
2013-06-14,485.14,494.07,483.00,484.38,32000,484.38
2013-06-13,469.27,487.25,469.27,484.45,23600,484.45
2013-06-12,469.25,474.00,469.20,471.14,20500,471.14
2013-06-11,460.77,468.89,460.77,466.98,16500,466.98
2013-06-10,461.24,466.69,459.89,463.41,9900,463.41
2013-06-07,462.04,464.17,458.12,462.49,19300,462.49
2013-06-06,459.89,466.60,456.66,457.13,31900,457.13
2013-06-05,467.86,469.23,459.40,459.42,19300,459.42
2013-06-04,467.80,470.49,464.35,468.31,28500,468.31
2013-06-03,469.16,469.49,459.79,467.03,18700,467.03
2013-05-31,477.55,481.50,467.00,467.23,22600,467.23
2013-05-30,478.17,482.89,476.59,476.59,24300,476.59
2013-05-29,479.22,484.65,478.53,479.35,14800,479.35
2013-05-28,479.98,486.55,479.00,482.45,18600,482.45
2013-05-24,466.97,474.91,466.97,473.76,14200,473.76
2013-05-23,464.00,476.19,464.00,471.80,12700,471.80
2013-05-22,468.17,477.01,466.18,468.50,20800,468.50
2013-05-21,467.49,474.23,466.86,469.38,25500,469.38
2013-05-20,464.81,468.97,463.06,468.75,9100,468.75
2013-05-17,453.69,468.99,453.69,466.81,15600,466.81
