Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,59.85,60.42,59.72,59.97,989100,59.97
2013-07-11,60.49,60.60,59.66,59.95,765000,59.95
2013-07-10,59.03,59.65,58.67,59.52,807800,59.52
2013-07-09,59.24,59.52,58.44,59.05,1006200,59.05
2013-07-08,58.86,59.63,58.70,58.78,978700,58.78
2013-07-05,57.37,58.95,57.33,58.94,1060700,58.94
2013-07-03,56.73,57.39,56.37,56.83,804900,56.83
2013-07-02,57.39,57.71,56.84,57.07,1413400,57.07
2013-07-01,57.63,57.83,57.00,57.38,892200,57.38
2013-06-28,57.25,57.83,56.67,57.23,1412300,57.23
2013-06-27,57.16,57.76,56.99,57.42,1252500,57.42
2013-06-26,56.85,57.16,56.45,56.86,1506500,56.86
2013-06-25,55.52,56.48,55.33,56.37,1936000,56.37
2013-06-24,54.37,55.19,53.53,54.85,3188700,54.85
2013-06-21,56.23,56.26,52.84,55.15,3838700,55.15
2013-06-20,57.86,57.90,55.49,55.67,1820800,55.67
2013-06-19,59.46,59.92,58.49,58.49,1085600,58.49
2013-06-18,59.19,60.04,59.16,59.61,967900,59.61
2013-06-17,59.10,59.51,58.76,59.18,988300,59.18
2013-06-14,59.07,59.49,58.61,58.79,1123600,58.79
2013-06-13,57.54,59.34,57.10,59.30,1883800,59.30
2013-06-12,58.43,58.69,57.13,57.44,1255500,57.44
2013-06-11,57.17,58.19,56.51,57.93,1483700,57.93
2013-06-10,58.40,58.84,57.84,57.95,771600,57.95
2013-06-07,58.05,59.02,57.85,58.32,1446400,58.32
2013-06-06,57.01,57.74,56.81,57.63,1333400,57.63
2013-06-05,57.73,58.05,56.84,57.11,1120100,57.11
2013-06-04,58.08,58.95,57.29,57.83,1920600,57.83
2013-06-03,58.38,58.38,56.82,58.07,2390400,58.07
2013-05-31,58.78,59.21,58.10,58.12,1851700,58.12
2013-05-30,59.93,60.27,59.11,59.11,1649200,59.11
2013-05-29,60.88,61.23,59.74,59.81,1693600,59.81
2013-05-28,60.92,61.56,60.84,61.43,1729300,61.43
2013-05-24,60.40,60.60,59.97,60.48,1183900,60.48
2013-05-23,59.98,61.34,59.75,60.89,1318800,60.89
2013-05-22,60.91,62.07,60.36,60.69,1310100,60.40
2013-05-21,60.87,61.49,60.39,61.32,1584000,61.03
2013-05-20,61.13,61.30,60.38,61.01,1863300,60.72
2013-05-17,61.59,61.96,60.66,60.99,2678900,60.70
2013-05-16,62.65,63.10,61.26,61.37,1750500,61.08
2013-05-15,62.94,63.54,62.44,62.59,2373400,62.29
2013-05-14,64.06,64.34,63.38,63.83,1411500,63.52
2013-05-13,64.51,65.00,63.75,64.11,1177100,63.80
2013-05-10,63.57,64.74,63.47,64.68,1146600,64.37
2013-05-09,63.78,64.04,63.21,63.45,1398500,63.15
2013-05-08,63.73,64.36,63.34,63.75,1336000,63.45
2013-05-07,63.94,64.48,63.80,63.82,2205700,63.52
2013-05-06,62.59,64.00,62.42,63.96,1444900,63.65
2013-05-03,62.16,62.85,62.10,62.57,1345800,62.27
2013-05-02,60.41,61.75,60.14,61.37,1391900,61.08
2013-05-01,59.83,60.40,59.12,60.13,1810900,59.84
2013-04-30,60.58,60.99,59.80,60.08,2065500,59.79
2013-04-29,61.45,61.49,60.17,60.48,1742600,60.19
2013-04-26,62.50,62.99,60.77,61.26,1519800,60.97
2013-04-25,62.35,63.25,62.27,62.60,2360600,62.30
2013-04-24,65.00,65.00,59.98,61.84,4866000,61.54
2013-04-23,63.80,64.88,63.55,64.41,1390800,64.10
2013-04-22,63.55,63.73,62.84,63.60,900400,63.30
2013-04-19,62.99,63.71,62.75,63.33,815700,63.03
2013-04-18,63.33,63.60,62.43,62.82,639400,62.52
2013-04-17,63.63,63.64,62.10,63.06,890300,62.76
2013-04-16,63.74,64.12,63.43,64.03,899800,63.72
2013-04-15,64.98,64.98,63.01,63.19,1133700,62.89
2013-04-12,64.34,65.30,64.11,65.26,847700,64.95
2013-04-11,64.10,64.89,64.08,64.53,951100,64.22
2013-04-10,63.33,64.20,63.33,64.03,707100,63.72
2013-04-09,63.81,63.94,63.12,63.20,782600,62.90
2013-04-08,62.18,63.59,61.97,63.53,795300,63.23
2013-04-05,61.90,62.15,60.63,62.10,2151900,61.80
2013-04-04,62.85,63.70,62.41,62.79,2121300,62.49
2013-04-03,64.70,64.99,62.63,62.87,2011100,62.57
2013-04-02,64.72,64.96,64.23,64.52,961000,64.21
2013-04-01,64.50,64.78,64.10,64.27,1367900,63.96
2013-03-28,64.01,64.80,63.90,64.48,1260800,64.17
2013-03-27,63.11,64.14,62.84,64.04,787600,63.73
2013-03-26,62.89,63.49,62.67,63.44,1235000,63.14
2013-03-25,62.82,63.21,62.30,62.48,993300,62.18
2013-03-22,62.09,62.53,61.99,62.52,690100,62.22
2013-03-21,61.93,62.47,61.68,61.71,930400,61.42
2013-03-20,62.77,63.00,62.13,62.26,959800,61.96
2013-03-19,62.79,62.92,62.04,62.40,1366900,62.10
2013-03-18,62.15,62.69,61.63,62.54,1171700,62.24
2013-03-15,62.60,63.23,62.52,62.97,1267800,62.67
2013-03-14,62.72,63.18,62.50,62.90,645700,62.60
2013-03-13,62.18,62.97,62.18,62.70,872700,62.40
2013-03-12,62.71,62.78,61.63,62.10,1298900,61.80
2013-03-11,63.25,63.46,62.76,62.93,1349200,62.34
2013-03-08,62.11,63.58,61.99,63.54,1489400,62.94
2013-03-07,61.61,62.12,61.54,61.76,1399600,61.18
2013-03-06,61.18,61.60,60.92,61.55,1650100,60.97
2013-03-05,60.77,61.35,60.69,60.95,1262200,60.38
2013-03-04,60.42,60.74,60.09,60.48,1123000,59.91
2013-03-01,59.80,61.39,59.49,60.67,1710600,60.10
2013-02-28,59.22,60.51,59.18,60.24,1880300,59.68
2013-02-27,58.30,59.44,58.26,59.17,1010100,58.62
2013-02-26,57.67,58.37,57.35,58.32,1472600,57.77
2013-02-25,58.59,58.89,57.39,57.39,1395200,56.85
2013-02-22,57.46,58.39,57.38,58.38,1146500,57.83
2013-02-21,57.27,57.37,56.30,57.23,1753900,56.69
2013-02-20,58.57,58.65,57.35,57.39,1322000,56.85
2013-02-19,59.40,59.40,58.31,58.87,1723300,58.32
2013-02-15,58.94,59.90,58.91,59.41,1471100,58.85
2013-02-14,58.97,59.18,58.52,58.83,1300500,58.28
2013-02-13,59.87,59.87,58.88,59.05,973900,58.50
2013-02-12,59.60,59.87,59.50,59.62,1008000,59.06
2013-02-11,59.98,60.19,59.50,59.62,1046200,59.06
2013-02-08,59.60,60.10,59.38,59.89,1020500,59.33
2013-02-07,59.96,59.97,58.82,59.45,1648900,58.89
2013-02-06,57.04,60.32,57.04,60.01,2959600,59.45
2013-02-05,55.77,56.67,55.75,56.20,2510200,55.67
2013-02-04,55.99,56.37,55.53,55.57,1847300,55.05
2013-02-01,56.10,56.31,55.26,56.19,2876200,55.66
2013-01-31,56.05,56.73,55.68,55.79,1424700,55.27
2013-01-30,56.30,56.52,55.93,55.98,632100,55.46
2013-01-29,56.90,57.10,56.21,56.26,1379300,55.73
2013-01-28,57.26,57.35,56.77,57.10,704800,56.57
2013-01-25,56.64,57.13,56.20,57.13,836100,56.59
2013-01-24,55.59,56.89,55.59,56.47,938500,55.94
2013-01-23,55.98,56.00,55.51,55.56,951500,55.04
2013-01-22,56.09,56.17,55.71,56.00,1237200,55.48
2013-01-18,56.48,56.57,55.78,56.10,821400,55.57
2013-01-17,56.05,56.63,55.79,56.43,778300,55.90
2013-01-16,56.04,56.13,55.45,55.67,729200,55.15
2013-01-15,55.88,56.28,55.72,56.12,963100,55.59
2013-01-14,55.96,56.35,55.80,56.00,437900,55.48
2013-01-11,56.37,56.50,55.88,56.02,791300,55.50
2013-01-10,56.62,56.77,55.90,56.18,1295800,55.65
2013-01-09,56.21,56.77,56.21,56.41,978000,55.88
2013-01-08,55.65,56.40,55.60,56.04,1831100,55.52
2013-01-07,55.83,56.14,55.63,56.00,1298500,55.48
2013-01-04,55.54,56.22,55.31,56.14,1410700,55.61
2013-01-03,55.24,55.67,55.07,55.41,1194100,54.89
2013-01-02,54.27,55.56,53.94,55.14,1655100,54.62
2012-12-31,52.07,53.23,52.07,53.21,932500,52.71
2012-12-28,52.56,52.94,52.07,52.13,932400,51.64
2012-12-27,52.80,53.10,52.26,52.96,1165100,52.46
2012-12-26,53.22,53.31,52.45,52.72,696400,52.23
2012-12-24,53.24,53.57,53.11,53.16,416200,52.66
2012-12-21,52.87,53.46,52.47,53.38,2083100,52.88
2012-12-20,52.32,53.61,52.21,53.40,1548600,52.90
2012-12-19,52.95,53.00,52.40,52.44,919400,51.95
2012-12-18,52.22,52.93,52.15,52.81,1462800,52.32
2012-12-17,50.54,52.16,50.54,52.12,1725500,51.63
2012-12-14,50.16,50.54,50.04,50.26,836600,49.79
2012-12-13,50.01,50.66,49.95,50.30,884500,49.83
2012-12-12,50.17,50.54,49.97,50.12,1217800,49.65
2012-12-11,50.69,50.75,50.04,50.07,1141600,49.60
2012-12-10,49.76,50.99,49.70,50.46,2076800,49.99
2012-12-07,49.89,49.89,49.40,49.64,1156600,49.18
2012-12-06,49.53,49.88,49.28,49.59,1365200,49.13
2012-12-05,49.73,50.01,49.12,49.68,1627800,49.21
2012-12-04,49.78,50.01,49.31,49.74,1254100,49.27
2012-12-03,49.60,50.40,49.60,49.99,2458900,49.52
2012-11-30,48.85,49.34,48.66,49.09,2817500,48.63
2012-11-29,49.02,49.32,48.34,48.83,1984000,48.37
2012-11-28,48.80,48.91,47.95,48.83,2524100,48.37
2012-11-27,49.19,49.58,48.88,48.96,1043100,48.50
2012-11-26,49.64,49.86,48.90,49.26,1228200,48.80
2012-11-23,49.86,50.16,49.59,50.16,236300,49.69
2012-11-21,49.65,49.96,49.12,49.62,1033100,49.16
2012-11-20,49.25,49.84,48.97,49.70,1951400,49.23
2012-11-19,49.48,49.68,48.96,49.12,3056900,48.66
2012-11-16,49.28,49.44,48.29,48.89,2303300,48.20
2012-11-15,49.87,49.91,48.25,48.98,2637400,48.29
2012-11-14,51.11,51.12,49.71,49.92,1505900,49.22
2012-11-13,50.87,51.56,50.66,51.05,654300,50.33
2012-11-12,51.68,51.78,50.92,51.14,788900,50.42
2012-11-09,50.65,51.77,50.65,51.37,1310200,50.65
2012-11-08,51.20,51.73,50.85,50.94,1408000,50.23
2012-11-07,51.45,51.82,50.70,51.31,1736700,50.59
2012-11-06,51.59,52.26,51.45,52.17,1069600,51.44
2012-11-05,50.28,51.51,50.16,51.44,1097100,50.72
2012-11-02,51.67,51.80,50.46,50.51,948500,49.80
2012-11-01,50.57,51.70,50.41,51.30,1392900,50.58
2012-10-31,51.16,51.69,50.25,50.40,1328500,49.69
2012-10-26,51.64,51.85,50.07,50.66,1796500,49.95
2012-10-25,52.23,52.62,51.14,51.55,1856600,50.83
2012-10-24,53.92,54.50,52.00,52.29,1664900,51.56
2012-10-23,53.46,53.61,52.61,53.30,1192800,52.55
2012-10-22,54.43,54.49,53.72,54.43,667900,53.67
2012-10-19,54.64,54.90,53.96,54.12,850600,53.36
2012-10-18,55.03,55.29,54.58,54.87,667100,54.10
2012-10-17,54.85,55.41,54.60,55.04,619700,54.27
2012-10-16,54.51,54.83,54.36,54.76,858500,53.99
2012-10-15,53.48,54.21,53.21,54.19,666600,53.43
2012-10-12,52.93,53.50,52.93,53.27,623800,52.52
2012-10-11,53.65,53.65,52.67,52.87,1233800,52.13
2012-10-10,53.80,53.95,53.13,53.35,572200,52.60
2012-10-09,54.24,54.46,53.54,53.71,723500,52.96
2012-10-08,54.38,54.68,54.00,54.26,594400,53.50
2012-10-05,54.81,55.09,54.33,54.60,1130700,53.83
2012-10-04,54.13,55.34,54.02,54.41,1177300,53.65
2012-10-03,53.25,53.84,52.96,53.61,1212200,52.86
2012-10-02,53.06,54.11,52.93,53.21,1019300,52.46
2012-10-01,52.65,53.64,52.62,52.87,1149200,52.13
2012-09-28,52.70,52.72,52.15,52.48,1221300,51.74
2012-09-27,52.80,53.40,52.47,53.02,771600,52.28
2012-09-26,52.40,52.86,51.84,52.49,651700,51.75
2012-09-25,53.43,53.78,52.52,52.54,958400,51.80
2012-09-24,52.50,53.27,52.34,53.13,805800,52.38
2012-09-21,53.69,54.11,52.45,53.00,1636400,52.26
2012-09-20,53.28,53.91,53.20,53.36,1037600,52.61
2012-09-19,53.49,53.99,53.47,53.52,1023700,52.77
2012-09-18,53.40,53.54,53.07,53.39,1135900,52.64
2012-09-17,53.65,53.83,53.42,53.56,1135700,52.81
2012-09-14,54.11,54.68,53.57,53.75,1637000,53.00
2012-09-13,53.59,54.25,53.19,53.97,2215400,53.21
2012-09-12,54.09,54.11,53.41,53.54,1087300,52.79
2012-09-11,53.70,54.22,53.69,53.89,1106700,53.13
2012-09-10,54.42,54.52,53.61,53.69,1724700,52.94
2012-09-07,53.88,54.95,53.76,54.32,1222100,53.56
2012-09-06,51.48,53.84,51.48,53.65,1739200,52.90
2012-09-05,51.40,51.54,50.90,51.00,1056400,50.28
2012-09-04,51.95,52.09,51.11,51.45,1371300,50.73
2012-08-31,51.96,52.26,51.50,52.14,659600,51.41
2012-08-30,51.74,51.92,51.41,51.66,630600,50.94
2012-08-29,51.72,52.32,51.62,52.18,853200,51.45
2012-08-28,51.60,52.08,51.45,51.73,750700,51.00
2012-08-27,51.49,51.87,51.15,51.69,986700,50.97
2012-08-24,50.46,51.74,50.27,51.43,1492500,50.71
2012-08-23,50.88,51.06,50.55,50.65,1598300,49.94
2012-08-22,50.99,51.28,50.56,51.02,2358300,50.30
2012-08-21,51.76,51.91,50.99,51.26,1533800,50.54
2012-08-20,52.35,52.53,51.35,51.55,897900,50.60
