Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,29.25,29.35,29.07,29.31,1420000,29.31
2013-07-11,29.23,29.30,29.03,29.27,1813100,29.27
2013-07-10,28.76,29.07,28.67,28.94,2079200,28.94
2013-07-09,28.75,28.92,28.54,28.85,2544700,28.85
2013-07-08,28.22,28.71,28.09,28.56,2994300,28.56
2013-07-05,28.29,28.36,27.76,28.10,2802100,28.10
2013-07-03,27.97,28.31,27.93,28.26,2470500,28.26
2013-07-02,28.03,28.31,28.00,28.13,3404900,28.13
2013-07-01,28.38,28.58,27.91,28.06,5133900,28.06
2013-06-28,27.38,28.59,27.38,28.34,9454100,28.34
2013-06-27,28.75,29.05,28.65,28.70,2986300,28.70
2013-06-26,28.55,28.84,28.42,28.66,2912500,28.66
2013-06-25,28.16,28.50,27.96,28.38,2819500,28.38
2013-06-24,27.83,28.19,27.54,28.02,3921400,28.02
2013-06-21,27.80,28.17,27.46,28.01,6433000,28.01
2013-06-20,28.32,28.42,27.69,27.71,5558000,27.71
2013-06-19,29.32,29.36,28.55,28.55,4023800,28.55
2013-06-18,29.43,29.47,29.12,29.36,3892400,29.36
2013-06-17,29.55,29.74,29.34,29.48,6810200,29.20
2013-06-14,29.21,29.58,29.04,29.42,4518400,29.14
2013-06-13,28.76,29.30,28.61,29.28,5756200,29.00
2013-06-12,29.11,29.15,28.70,28.77,3410700,28.50
2013-06-11,28.95,29.14,28.89,28.98,10186900,28.70
2013-06-10,29.26,29.29,28.96,29.14,9735700,28.86
2013-06-07,29.00,29.23,28.85,29.15,7962100,28.87
2013-06-06,28.47,28.91,28.46,28.91,2981300,28.64
2013-06-05,28.75,28.76,28.45,28.48,3098300,28.21
2013-06-04,28.89,28.98,28.63,28.86,4388200,28.59
2013-06-03,28.72,29.07,28.36,28.87,4411600,28.60
2013-05-31,28.78,29.25,28.72,28.72,4263000,28.45
2013-05-30,28.81,29.19,28.81,28.88,3473400,28.61
2013-05-29,29.19,29.23,28.33,28.65,4731800,28.38
2013-05-28,29.65,29.72,29.26,29.37,2687400,29.09
2013-05-24,29.74,29.79,29.45,29.57,2039500,29.29
2013-05-23,29.82,29.92,29.31,29.81,3391300,29.53
2013-05-22,30.18,30.66,29.77,29.95,4028400,29.67
2013-05-21,30.24,30.37,30.04,30.27,2667000,29.98
2013-05-20,30.42,30.50,30.22,30.25,2543600,29.96
2013-05-17,30.25,30.46,30.14,30.42,2437000,30.13
2013-05-16,30.26,30.37,30.10,30.14,1862300,29.85
2013-05-15,30.06,30.65,30.02,30.33,2794900,30.04
2013-05-14,30.00,30.14,29.94,30.03,3900000,29.74
2013-05-13,30.14,30.26,29.94,30.03,3107700,29.74
2013-05-10,30.20,30.27,30.02,30.25,2117800,29.96
2013-05-09,30.84,30.93,30.16,30.23,2137400,29.94
2013-05-08,31.08,31.23,30.79,30.85,1500700,30.56
2013-05-07,30.73,31.18,30.69,31.17,2376100,30.87
2013-05-06,31.15,31.21,30.63,30.68,3271900,30.39
2013-05-03,31.55,31.71,31.16,31.19,3671400,30.89
2013-05-02,31.38,31.56,31.13,31.35,2527500,31.05
2013-05-01,31.70,31.77,31.43,31.44,1830100,31.14
2013-04-30,31.57,31.79,31.48,31.79,2327700,31.49
2013-04-29,31.27,31.73,31.20,31.58,2128000,31.28
2013-04-26,31.27,31.42,31.14,31.22,1975000,30.92
2013-04-25,31.23,31.45,31.16,31.32,1501000,31.02
2013-04-24,30.99,31.37,30.86,31.19,2080100,30.89
2013-04-23,31.05,31.05,30.64,30.93,2824000,30.64
