Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,31.46,32.04,31.46,32.01,1494700,32.01
2013-07-11,31.27,31.61,31.00,31.54,1613500,31.54
2013-07-10,31.25,31.35,30.85,30.94,2413300,30.94
2013-07-09,31.20,31.39,31.07,31.34,1279800,31.34
2013-07-08,30.80,31.03,30.75,30.97,1457200,30.97
2013-07-05,30.48,30.65,30.29,30.65,1616600,30.65
2013-07-03,30.22,30.42,30.09,30.25,1008700,30.25
2013-07-02,30.61,30.97,30.34,30.48,2277000,30.48
2013-07-01,30.48,30.91,30.48,30.62,1989100,30.62
2013-06-28,30.35,30.62,30.18,30.32,2641900,30.32
2013-06-27,30.30,30.75,30.29,30.44,2096800,30.44
2013-06-26,30.00,30.24,29.94,30.11,1784100,30.11
2013-06-25,29.55,29.95,29.44,29.76,2636400,29.76
2013-06-24,29.19,29.51,28.88,29.32,3175500,29.32
2013-06-21,30.23,30.27,29.38,29.56,4616700,29.56
2013-06-20,30.57,30.72,29.88,29.98,2846600,29.98
2013-06-19,31.62,31.65,30.82,30.82,1931000,30.82
2013-06-18,31.22,31.70,31.15,31.69,1078400,31.69
2013-06-17,31.23,31.37,30.90,31.13,1503200,31.13
2013-06-14,31.19,31.36,30.94,31.06,1737700,31.06
2013-06-13,30.81,31.36,30.57,31.30,1813300,31.30
2013-06-12,30.82,31.23,30.66,30.84,1951200,30.84
2013-06-11,31.31,31.36,30.81,30.86,2074300,30.72
2013-06-10,31.38,31.57,31.23,31.54,1541400,31.40
2013-06-07,31.22,31.46,31.05,31.31,2239900,31.17
2013-06-06,30.73,31.05,30.57,31.05,1748800,30.91
2013-06-05,31.20,31.32,30.75,30.80,2120200,30.66
2013-06-04,31.22,31.57,31.05,31.37,3106200,31.23
2013-06-03,31.53,31.57,30.76,31.28,2676100,31.14
2013-05-31,31.91,32.03,31.42,31.43,1587500,31.29
2013-05-30,31.84,32.09,31.71,31.99,1972000,31.84
2013-05-29,31.58,31.77,31.31,31.73,2266200,31.59
2013-05-28,31.83,31.99,31.53,31.78,1807300,31.64
2013-05-24,31.41,31.60,31.26,31.50,1712100,31.36
2013-05-23,31.69,31.94,31.55,31.62,2295100,31.48
2013-05-22,32.00,32.34,31.84,31.98,4308500,31.83
2013-05-21,32.26,32.39,31.82,32.05,2079400,31.90
2013-05-20,32.45,32.46,32.14,32.27,2020600,32.12
2013-05-17,32.67,32.77,32.41,32.45,2299200,32.30
2013-05-16,32.72,32.81,32.47,32.66,1867600,32.51
2013-05-15,32.69,32.83,32.43,32.70,1668500,32.55
2013-05-14,32.07,32.77,32.00,32.71,4254300,32.56
2013-05-13,31.92,32.11,31.84,32.07,2303200,31.92
2013-05-10,31.92,32.01,31.69,31.93,1520700,31.79
2013-05-09,31.93,32.14,31.86,31.99,2280800,31.84
2013-05-08,32.07,32.15,31.86,31.92,3821700,31.78
2013-05-07,32.20,32.33,32.04,32.10,3289200,31.95
2013-05-06,32.25,32.28,31.97,32.13,3609500,31.98
2013-05-03,31.38,32.96,31.38,32.23,9451600,32.08
2013-05-02,30.95,31.25,30.70,30.80,3260600,30.66
2013-05-01,31.14,31.34,30.80,30.89,2217400,30.75
2013-04-30,31.09,31.60,31.07,31.14,2815000,31.00
2013-04-29,31.20,31.31,31.10,31.14,1100400,31.00
2013-04-26,31.46,31.53,31.15,31.15,1203800,31.01
2013-04-25,31.66,31.74,31.43,31.51,1100500,31.37
2013-04-24,31.16,31.70,31.11,31.62,1732700,31.48
2013-04-23,30.82,31.11,30.77,31.10,1631100,30.96
2013-04-22,30.52,30.62,30.28,30.53,1015100,30.39
2013-04-19,30.22,30.46,30.13,30.44,1624800,30.30
2013-04-18,30.78,30.85,29.93,30.03,3414200,29.89
2013-04-17,30.98,30.98,30.64,30.79,1953200,30.65
2013-04-16,30.67,31.15,30.49,31.15,1804700,31.01
2013-04-15,31.17,31.20,30.41,30.41,2365700,30.27
2013-04-12,31.46,31.57,31.18,31.29,1609600,31.15
2013-04-11,31.40,31.63,31.33,31.60,1430300,31.46
2013-04-10,31.20,31.33,30.96,31.32,1981400,31.18
2013-04-09,31.10,31.26,30.87,31.09,1693800,30.95
2013-04-08,30.71,31.04,30.65,31.02,1845600,30.88
