Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,42.73,43.37,42.26,42.98,5363100,42.98
2013-07-11,41.46,41.93,41.42,41.85,3273300,41.85
2013-07-10,40.07,41.23,40.07,41.16,3309200,41.16
2013-07-09,40.00,40.24,39.97,40.15,1829900,40.15
2013-07-08,40.53,40.70,39.53,39.81,2268200,39.81
2013-07-05,40.31,40.56,39.97,40.49,983600,40.49
2013-07-03,39.53,40.13,39.39,39.90,909800,39.90
2013-07-02,39.73,40.26,39.32,39.65,3238200,39.65
2013-07-01,39.77,40.40,39.57,39.91,3255700,39.91
2013-06-28,39.37,39.93,39.23,39.61,2820100,39.61
2013-06-27,39.67,39.87,39.47,39.61,1798400,39.61
2013-06-26,39.55,39.95,39.47,39.48,3611800,39.48
2013-06-25,39.10,39.30,38.64,39.18,3217400,39.18
2013-06-24,39.07,39.21,38.41,38.61,2890400,38.61
2013-06-21,38.73,39.03,38.29,38.98,4156500,38.98
2013-06-20,39.25,39.41,38.44,38.56,3193900,38.56
2013-06-19,40.26,40.46,39.76,39.76,3728300,39.76
2013-06-18,39.48,40.24,39.46,40.20,3111800,40.20
2013-06-17,39.12,39.67,39.11,39.49,3053400,39.49
2013-06-14,38.75,39.37,38.62,38.88,3613000,38.88
2013-06-13,37.63,38.95,37.63,38.81,5032200,38.81
2013-06-12,39.47,39.52,37.72,37.79,9524500,37.79
2013-06-11,39.94,40.06,39.15,39.16,4196000,39.16
2013-06-10,40.66,40.85,40.21,40.37,3002400,40.37
2013-06-07,40.07,40.67,39.75,40.60,3385500,40.60
2013-06-06,40.69,40.69,39.57,39.77,3606600,39.77
2013-06-05,40.69,40.77,40.04,40.40,3688500,40.40
2013-06-04,40.83,41.36,40.52,40.69,2621400,40.69
2013-06-03,40.67,40.83,40.23,40.57,2780900,40.57
2013-05-31,41.00,41.31,40.65,40.65,3758000,40.65
2013-05-30,40.56,41.47,40.45,41.33,5392700,41.33
2013-05-29,39.75,40.60,39.64,40.45,3828300,40.45
2013-05-28,40.00,40.33,39.64,39.96,5182000,39.96
2013-05-24,38.91,39.46,38.91,39.40,2827200,39.40
2013-05-23,39.28,39.36,38.91,39.21,3695600,39.21
2013-05-22,39.30,40.10,39.13,39.51,7704600,39.51
2013-05-21,39.10,39.49,38.99,39.47,4051600,39.47
2013-05-20,39.09,39.30,38.93,38.95,1993500,38.95
2013-05-17,39.00,39.32,38.89,39.22,2916000,39.22
2013-05-16,38.98,39.73,38.70,38.74,3532400,38.74
2013-05-15,38.19,38.82,38.18,38.74,2991500,38.74
2013-05-14,37.97,38.35,37.86,38.35,1869800,38.35
2013-05-13,38.15,38.29,37.89,37.89,1579900,37.89
2013-05-10,38.63,38.73,38.46,38.56,1266800,38.31
2013-05-09,38.53,38.75,38.38,38.48,1705600,38.23
2013-05-08,38.14,38.58,38.07,38.57,1828800,38.32
2013-05-07,38.00,38.25,37.79,38.13,2601100,37.88
2013-05-06,38.26,38.48,37.98,38.01,2999400,37.76
2013-05-03,38.33,38.57,38.04,38.16,2252200,37.91
2013-05-02,37.73,38.08,37.64,38.02,2121700,37.77
2013-05-01,37.88,38.16,37.50,37.61,2255400,37.37
2013-04-30,37.65,38.00,37.37,37.91,2859100,37.66
2013-04-29,37.43,37.81,37.30,37.69,2905800,37.45
2013-04-26,37.87,37.87,37.36,37.44,3933100,37.20
2013-04-25,36.90,38.04,36.55,37.79,6062400,37.54
2013-04-24,36.25,36.67,36.22,36.50,3074600,36.26
2013-04-23,36.18,36.60,36.03,36.55,3234000,36.31
2013-04-22,35.62,36.13,35.15,35.91,2189700,35.68
2013-04-19,35.62,35.90,34.98,35.51,2881500,35.28
2013-04-18,36.16,36.27,35.49,35.60,2220700,35.37
2013-04-17,36.66,36.66,35.38,35.88,3961800,35.65
2013-04-16,36.76,37.14,36.60,37.08,2372100,36.84
2013-04-15,37.02,37.28,36.51,36.58,3103500,36.34
2013-04-12,37.36,37.40,36.63,37.08,3072600,36.84
2013-04-11,37.64,37.90,37.31,37.41,2241000,37.17
2013-04-10,36.84,37.89,36.80,37.77,3201400,37.53
2013-04-09,36.76,37.01,36.42,36.76,1509600,36.52
2013-04-08,36.47,36.79,36.15,36.74,2474400,36.50
2013-04-05,36.13,36.42,35.51,36.36,4503600,36.12
2013-04-04,36.20,36.92,36.14,36.81,3908000,36.57
2013-04-03,37.29,37.43,36.02,36.21,4438300,35.98
2013-04-02,37.74,37.82,37.05,37.28,2838300,37.04
2013-04-01,38.47,38.47,37.60,37.65,1751500,37.41
2013-03-28,37.93,38.20,37.81,38.17,2630700,37.92
2013-03-27,37.89,38.15,37.58,37.95,2249400,37.70
2013-03-26,38.09,38.38,37.97,38.20,1619200,37.95
2013-03-25,38.12,38.12,37.55,37.90,1738500,37.65
2013-03-22,38.04,38.21,37.85,37.97,1489700,37.72
2013-03-21,37.92,38.24,37.66,37.85,1804300,37.60
2013-03-20,38.13,38.37,37.94,38.24,2024100,37.99
2013-03-19,38.10,38.51,37.52,37.82,4855700,37.57
2013-03-18,37.99,38.21,37.63,37.76,2159500,37.52
2013-03-15,38.77,38.92,38.08,38.45,4167900,38.20
2013-03-14,38.85,39.24,38.74,38.85,3905200,38.60
2013-03-13,38.43,38.66,38.29,38.52,2881100,38.27
2013-03-12,38.22,38.54,37.94,38.51,2704100,38.26
2013-03-11,38.20,38.47,38.03,38.33,2576800,38.08
2013-03-08,38.33,38.53,37.92,38.37,3864600,38.12
2013-03-07,37.57,38.29,37.50,38.24,4843000,37.99
2013-03-06,37.42,37.83,37.35,37.46,4897100,37.22
2013-03-05,36.72,37.33,36.67,37.19,3900300,36.95
2013-03-04,36.75,36.75,36.37,36.39,3582300,36.15
2013-03-01,37.02,37.03,36.40,36.65,3905900,36.41
2013-02-28,37.41,37.74,37.20,37.27,3151600,37.03
2013-02-27,36.73,37.56,36.58,37.39,3296200,37.15
2013-02-26,37.22,37.27,36.45,36.67,8315500,36.43
2013-02-25,38.31,38.42,37.30,37.30,2103500,37.06
2013-02-22,37.82,38.13,37.63,37.96,2764800,37.71
2013-02-21,38.15,38.22,37.48,37.65,3085200,37.41
2013-02-20,39.16,39.18,38.29,38.29,3377900,38.04
2013-02-19,38.66,39.43,38.31,39.14,4673100,38.89
2013-02-15,38.54,38.54,37.87,38.12,2445800,37.87
2013-02-14,37.61,38.62,37.42,38.44,4376300,38.19
2013-02-13,37.63,38.00,37.48,37.80,2908700,37.55
2013-02-12,37.35,37.71,37.22,37.58,1859600,37.34
2013-02-11,37.46,37.58,37.27,37.46,2004300,37.22
2013-02-08,37.00,37.63,36.97,37.51,3721100,37.27
2013-02-07,36.89,37.06,36.65,36.86,3048500,36.62
2013-02-06,36.69,37.02,36.58,37.00,2863500,36.76
2013-02-05,36.60,37.05,36.49,36.92,2387600,36.68
2013-02-04,36.76,36.95,36.44,36.45,2455600,36.21
2013-02-01,36.59,37.20,36.52,37.16,3173400,36.70
2013-01-31,36.68,36.84,36.43,36.49,1974100,36.04
2013-01-30,36.56,36.89,36.56,36.66,2446800,36.21
2013-01-29,36.72,36.85,36.44,36.65,1628600,36.20
2013-01-28,36.72,37.00,36.69,36.72,2215500,36.27
2013-01-25,36.88,37.24,36.68,36.85,3174300,36.39
2013-01-24,36.44,37.06,36.34,36.80,3414200,36.34
2013-01-23,36.80,36.95,36.57,36.70,1719400,36.25
2013-01-22,37.08,37.10,36.61,36.74,2933700,36.29
2013-01-18,36.31,37.63,36.26,37.17,6583200,36.71
2013-01-17,36.56,36.84,36.31,36.44,4160700,35.99
2013-01-16,35.56,36.24,35.56,36.20,3635400,35.75
2013-01-15,35.71,35.82,35.38,35.72,3556600,35.28
2013-01-14,36.46,36.46,35.58,35.84,5139700,35.40
2013-01-11,36.00,36.06,35.67,35.80,2639200,35.36
2013-01-10,35.94,36.25,35.85,36.00,2402900,35.55
2013-01-09,35.72,35.92,35.33,35.89,3434400,35.45
2013-01-08,36.25,36.36,35.57,35.61,3877900,35.17
2013-01-07,36.25,36.57,36.20,36.35,1938400,35.90
2013-01-04,36.95,37.08,36.45,36.50,2502300,36.05
2013-01-03,37.13,37.39,36.89,37.02,2560000,36.56
2013-01-02,36.40,37.09,36.40,37.09,3440800,36.63
2012-12-31,35.29,35.97,35.27,35.86,2227500,35.42
2012-12-28,35.53,35.82,35.29,35.31,1683700,34.87
2012-12-27,35.85,35.92,35.33,35.78,1832300,35.34
2012-12-26,36.03,36.33,35.75,35.83,1105300,35.39
2012-12-24,36.00,36.08,35.80,35.96,611100,35.52
2012-12-21,35.94,36.24,35.55,36.10,3961000,35.65
2012-12-20,36.07,36.44,35.79,36.30,2046200,35.85
2012-12-19,36.01,36.41,36.01,36.05,2745300,35.60
2012-12-18,35.65,36.29,35.58,35.97,2840400,35.53
2012-12-17,35.43,35.60,35.17,35.48,2738100,35.04
2012-12-14,35.27,35.69,35.09,35.37,2012600,34.93
2012-12-13,35.60,36.06,35.27,35.32,2391600,34.88
2012-12-12,35.78,35.97,35.59,35.69,1808800,35.25
2012-12-11,35.22,35.71,35.09,35.67,2520700,35.23
2012-12-10,34.89,35.36,34.82,35.08,2105100,34.65
2012-12-07,34.55,34.88,34.37,34.86,1746200,34.43
2012-12-06,34.34,34.73,34.30,34.47,1471700,34.04
