Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,42.16,42.29,41.84,41.99,861100,41.99
2013-07-11,42.28,42.46,41.74,42.18,690200,42.18
2013-07-10,41.80,42.05,41.75,41.87,699300,41.87
2013-07-09,41.98,42.08,41.89,41.96,414900,41.96
2013-07-08,41.98,41.98,41.54,41.80,491600,41.80
2013-07-05,41.51,41.83,40.87,41.83,572500,41.83
2013-07-03,40.99,41.25,40.82,41.14,809200,41.14
2013-07-02,41.11,41.55,40.88,41.10,894500,41.10
2013-07-01,41.32,41.65,40.97,41.16,684100,41.16
2013-06-28,41.01,41.37,40.80,40.96,1224800,40.96
2013-06-27,40.60,41.30,40.60,41.23,690600,41.23
2013-06-26,40.56,40.75,40.44,40.47,424600,40.47
2013-06-25,40.57,40.65,40.09,40.24,900900,40.18
2013-06-24,40.66,40.79,39.90,40.38,1106100,40.32
2013-06-21,40.68,41.07,40.28,40.87,1285800,40.81
2013-06-20,40.61,40.68,40.19,40.44,1012100,40.38
2013-06-19,41.73,41.73,40.99,41.12,638600,41.06
2013-06-18,41.60,41.91,41.54,41.78,507300,41.71
2013-06-17,41.25,41.66,41.25,41.58,1119900,41.51
2013-06-14,41.31,41.44,40.92,41.01,427200,40.95
2013-06-13,41.56,41.65,40.61,41.38,658900,41.32
2013-06-12,41.21,41.32,40.82,40.92,520700,40.86
2013-06-11,41.06,41.32,40.85,41.00,622800,40.94
2013-06-10,41.43,41.48,41.13,41.41,964900,41.35
2013-06-07,41.29,41.60,41.16,41.41,883300,41.35
2013-06-06,41.40,41.54,40.75,41.13,852500,41.07
2013-06-05,41.85,41.97,41.40,41.43,886200,41.37
2013-06-04,42.25,42.44,41.86,41.91,895700,41.84
2013-06-03,41.88,42.24,41.62,42.23,874700,42.16
2013-05-31,41.76,42.46,41.69,41.76,759600,41.69
2013-05-30,41.71,42.15,41.71,42.00,602300,41.93
2013-05-29,41.98,42.13,41.54,41.85,1050000,41.78
2013-05-28,41.46,42.14,41.26,42.11,897100,42.04
2013-05-24,41.24,41.26,40.89,41.15,1708900,41.09
2013-05-23,41.45,41.87,41.31,41.51,901200,41.45
