Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,29.03,29.21,28.92,29.08,671000,29.08
2013-07-11,29.38,29.79,28.93,29.03,1195100,29.03
2013-07-10,28.54,29.05,28.50,28.97,1069100,28.97
2013-07-09,28.34,29.01,28.30,28.54,1425600,28.54
2013-07-08,28.06,28.27,28.01,28.16,759400,28.16
2013-07-05,27.78,28.00,27.65,27.98,570100,27.98
2013-07-03,27.39,27.71,27.34,27.63,330300,27.63
2013-07-02,27.59,27.71,27.39,27.50,1432800,27.50
2013-07-01,27.12,28.50,27.12,27.65,1479900,27.65
2013-06-28,26.50,27.04,26.43,26.94,1758900,26.94
2013-06-27,26.23,26.63,26.13,26.63,1213800,26.63
2013-06-26,26.07,26.18,25.98,26.08,971200,26.08
2013-06-25,25.95,26.10,25.81,25.93,1245000,25.93
2013-06-24,25.89,26.02,25.56,25.77,1399900,25.77
2013-06-21,26.62,26.70,25.87,26.10,1933200,26.10
2013-06-20,26.99,27.12,26.39,26.41,1268200,26.41
2013-06-19,27.65,27.69,27.24,27.25,605400,27.25
2013-06-18,27.36,27.67,27.35,27.66,666700,27.66
2013-06-17,27.26,27.54,27.07,27.27,750600,27.27
2013-06-14,27.24,27.51,27.05,27.12,349600,27.12
2013-06-13,26.94,27.39,26.91,27.27,805800,27.27
2013-06-12,27.48,27.48,26.96,27.01,834400,27.01
2013-06-11,27.25,27.49,27.11,27.21,654300,27.21
2013-06-10,27.63,27.63,27.30,27.50,625100,27.50
2013-06-07,27.48,27.80,27.33,27.55,866300,27.55
2013-06-06,26.50,27.44,26.49,27.30,867900,27.30
2013-06-05,27.82,27.86,27.19,27.20,668800,27.20
2013-06-04,28.24,28.47,27.73,27.86,479800,27.86
2013-06-03,28.22,28.39,27.77,28.25,1013600,28.25
2013-05-31,28.41,28.70,28.14,28.14,910900,28.14
2013-05-30,28.13,28.68,28.05,28.55,1034500,28.55
2013-05-29,27.90,28.13,27.77,28.05,888000,28.05
2013-05-28,28.17,28.39,27.98,28.06,715900,28.06
2013-05-24,27.85,27.96,27.61,27.85,582600,27.85
2013-05-23,28.28,28.45,27.92,28.05,931600,28.05
2013-05-22,28.68,28.97,28.37,28.51,1412200,28.51
2013-05-21,28.90,29.19,28.68,28.70,450100,28.70
2013-05-20,28.77,29.15,28.64,28.88,666600,28.88
2013-05-17,28.85,29.09,28.79,28.93,502700,28.81
2013-05-16,28.59,28.95,28.59,28.64,799000,28.53
2013-05-15,28.19,28.94,28.13,28.60,1695900,28.49
2013-05-14,27.61,28.40,27.59,28.31,1665300,28.20
2013-05-13,27.75,27.82,27.35,27.54,1150200,27.43
2013-05-10,27.96,28.09,27.70,27.80,863900,27.69
2013-05-09,28.12,28.20,27.79,27.88,924000,27.77
2013-05-08,27.71,28.20,27.64,28.11,1139700,28.00
2013-05-07,27.53,27.83,27.46,27.68,1070100,27.57
2013-05-06,27.38,27.66,27.26,27.41,1050600,27.30
2013-05-03,27.74,27.74,27.24,27.36,1387000,27.25
2013-05-02,27.51,27.71,27.41,27.44,1041300,27.33
2013-05-01,27.61,27.70,27.12,27.50,1728700,27.39
2013-04-30,27.81,28.10,26.38,27.75,2809700,27.64
2013-04-29,27.76,28.29,27.69,28.25,664400,28.14
2013-04-26,27.88,27.88,27.53,27.71,721500,27.60
2013-04-25,27.79,27.95,27.74,27.86,1025000,27.75
2013-04-24,27.46,27.97,27.46,27.69,630400,27.58
2013-04-23,26.92,27.43,26.92,27.39,621900,27.28
2013-04-22,26.96,27.11,26.64,26.84,907000,26.73
2013-04-19,27.10,27.39,26.93,26.99,789500,26.88
2013-04-18,27.37,27.52,26.88,27.04,772800,26.93
2013-04-17,27.48,27.61,27.02,27.28,1192600,27.17
2013-04-16,27.53,27.69,27.25,27.66,1391500,27.55
2013-04-15,28.20,28.36,27.29,27.42,1603800,27.31
2013-04-12,28.71,28.76,28.42,28.60,618600,28.49
2013-04-11,28.65,28.86,28.47,28.86,924700,28.74
2013-04-10,28.05,28.69,28.03,28.69,1110000,28.57
2013-04-09,27.85,28.03,27.59,27.96,754000,27.85
2013-04-08,27.59,27.85,27.38,27.85,642000,27.74
2013-04-05,27.41,27.65,27.20,27.60,1421700,27.49
2013-04-04,27.16,27.72,27.16,27.72,982500,27.61
2013-04-03,27.15,27.33,26.80,27.12,1416400,27.01
2013-04-02,27.42,27.66,27.12,27.22,552600,27.11
2013-04-01,27.56,27.65,27.04,27.25,661400,27.14
2013-03-28,27.37,27.59,27.26,27.56,1392700,27.45
2013-03-27,27.50,27.54,27.28,27.29,1269700,27.18
2013-03-26,27.82,27.97,27.57,27.69,1082400,27.58
2013-03-25,28.64,28.64,27.57,27.73,865100,27.62
2013-03-22,28.69,28.76,28.35,28.44,1154600,28.33
2013-03-21,28.32,28.76,28.27,28.56,1205900,28.45
