Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,71.49,72.02,70.45,70.64,5886200,70.64
2013-07-11,70.92,72.74,70.38,71.53,6580800,71.53
2013-07-10,72.65,72.73,71.86,72.36,2645000,72.36
2013-07-09,73.31,73.46,72.66,73.00,2591600,72.67
2013-07-08,72.48,73.06,72.20,72.49,2500300,72.16
2013-07-05,71.60,71.73,70.74,71.66,1529300,71.33
2013-07-03,69.93,71.25,69.64,71.12,1840700,70.79
2013-07-02,70.18,70.87,69.88,70.10,2313900,69.78
2013-07-01,69.60,70.49,69.26,70.22,2166100,69.90
2013-06-28,69.62,69.89,68.90,69.34,3062700,69.02
2013-06-27,69.81,69.99,69.16,69.60,1827800,69.28
2013-06-26,68.96,69.42,68.51,69.22,2141600,68.90
2013-06-25,68.87,69.11,68.32,68.34,2254600,68.03
2013-06-24,68.06,68.56,67.06,68.10,3287000,67.79
2013-06-21,69.72,70.00,68.82,68.98,4734200,68.66
2013-06-20,70.81,71.00,69.23,69.39,3125400,69.07
2013-06-19,72.20,72.64,71.33,71.51,1830900,71.18
2013-06-18,71.77,72.62,71.77,72.22,1741000,71.89
2013-06-17,71.54,72.24,70.96,71.60,1900900,71.27
2013-06-14,71.60,71.74,70.96,71.11,1788700,70.78
2013-06-13,71.53,71.85,71.05,71.61,2892600,71.28
2013-06-12,71.84,72.67,71.42,71.70,3452000,71.37
2013-06-11,71.86,73.06,71.69,71.76,3453600,71.43
2013-06-10,73.40,73.89,72.20,72.47,3975100,72.14
2013-06-07,72.24,73.64,72.12,73.52,5620600,73.18
2013-06-06,68.30,71.25,68.29,71.12,7427800,70.79
2013-06-05,68.61,69.12,67.80,68.03,2023000,67.72
2013-06-04,69.04,70.11,68.51,68.86,2600400,68.54
2013-06-03,67.79,69.01,67.79,69.01,2925900,68.69
2013-05-31,68.50,69.08,67.75,67.75,2453300,67.44
2013-05-30,69.50,69.52,68.56,68.60,2015000,68.29
2013-05-29,69.73,70.09,69.29,69.54,2141400,69.22
2013-05-28,69.86,70.41,69.60,70.03,1886400,69.71
2013-05-24,69.13,69.25,68.55,69.21,1809800,68.89
2013-05-23,68.94,69.37,68.66,69.30,2394400,68.98
2013-05-22,70.05,70.93,69.51,69.83,2181300,69.51
2013-05-21,70.26,70.64,70.00,70.18,2608000,69.86
2013-05-20,70.10,70.57,69.68,70.46,2660100,70.14
2013-05-17,69.72,70.29,69.23,70.16,2825000,69.84
2013-05-16,69.92,70.13,69.33,69.63,2783800,69.31
2013-05-15,69.90,70.60,69.81,69.92,3340500,69.60
